,Volumes,563360068.7,750267763.7,411400000,620633287.1
,Neuron ID,SLM,SR,SP,SO
CA2 Pyramidal,3000,,2479.183957,507.4204799,2328.932842
,,2685.941386,4618.213701,645.8901699,3160.915007
CA2 Basket,3006,,,24841.32277,
,,1359.779777,2549.193441,682.2943401,2247.296074
CA2 Wide-Arbor Basket,3007,,,19896.44746,
,,1211.124261,1120.967496,755.5823637,1629.083136
CA2 Bistratified,3003,,13396.17613,4389.896975,6554.210104
,,,3229.46244,739.8094106,1600.648508
CA2 SP-SR,3008,,6283.368171,,
,,,2355.259057,465.9069862,1331.748791
