From (pre-synaptic type),To (post-synaptic type)
HIPP,Mossy MOLDEN
HIPP,AIPRIM
HIPP,DG Axo-axonic
HIPP,DG Basket
HIPP,DG Basket CCK+
HIPP,HICAP
HIPP,MOLAX
HIPP,MOPP
HIPP,DG Neurogliaform
HIPP,Outer Molecular Layer
HIPP,Total Molecular Layer
HIPP,CA1 Neurogliaform Projecting
HIPROM,Granule
HIPROM,Hilar Ectopic Granule
HIPROM,Semilunar Granule
HIPROM,Mossy
HIPROM,Mossy MOLDEN
HIPROM,AIPRIM
HIPROM,DG Axo-axonic
HIPROM,DG Basket
HIPROM,DG Basket CCK+
HIPROM,HICAP
HIPROM,HIPP
HIPROM,HIPROM
HIPROM,MOCAP
HIPROM,MOLAX
HIPROM,MOPP
HIPROM,DG Neurogliaform
HIPROM,Outer Molecular Layer
HIPROM,Total Molecular Layer
HIPROM,CA3 Pyramidal
HIPROM,CA3c Pyramidal
HIPROM,CA3 Giant
HIPROM,CA3 Granule
HIPROM,CA3 Axo-axonic
HIPROM,CA3 Horizontal Axo-axonic
HIPROM,CA3 Basket
HIPROM,CA3 Basket CCK+
HIPROM,CA3 Bistratified
HIPROM,CA3 Interneuron Specific Oriens
HIPROM,CA3 Interneuron Specific Quad
HIPROM,CA3 Ivy
HIPROM,CA3 LMR-Targeting
HIPROM,Lucidum LAX
HIPROM,Lucidum ORAX
HIPROM,Lucidum-Radiatum
HIPROM,Spiny Lucidum
HIPROM,Mossy Fiber-Associated
HIPROM,Mossy Fiber-Associated ORDEN
HIPROM,CA3 O-LM
HIPROM,CA3 QuadD-LM
HIPROM,CA3 Radiatum
HIPROM,CA3 R-LM
HIPROM,CA3 SO-SO
HIPROM,CA3 Trilaminar
HIPROM,CA2 Wide-Arbor Basket
HIPROM,CA1 Neurogliaform Projecting
MOCAP,Granule
MOCAP,Hilar Ectopic Granule
MOCAP,Semilunar Granule
MOCAP,Mossy
MOCAP,Mossy MOLDEN
MOCAP,AIPRIM
MOCAP,DG Axo-axonic
MOCAP,DG Basket
MOCAP,DG Basket CCK+
MOCAP,HICAP
MOCAP,HIPP
MOCAP,HIPROM
MOCAP,MOCAP
MOCAP,MOLAX
MOCAP,Outer Molecular Layer
MOCAP,Total Molecular Layer
MOCAP,CA3 Interneuron Specific Quad
MOLAX,Granule
MOLAX,Hilar Ectopic Granule
MOLAX,Semilunar Granule
MOLAX,Mossy MOLDEN
MOLAX,AIPRIM
MOLAX,DG Axo-axonic
MOLAX,DG Basket
MOLAX,DG Basket CCK+
MOLAX,HICAP
MOLAX,HIPROM
MOLAX,MOCAP
MOLAX,MOLAX
MOLAX,MOPP
MOLAX,DG Neurogliaform
MOLAX,Outer Molecular Layer
MOLAX,Total Molecular Layer
MOLAX,CA1 Neurogliaform Projecting
MOPP,Granule
MOPP,Hilar Ectopic Granule
MOPP,Semilunar Granule
MOPP,Mossy MOLDEN
MOPP,AIPRIM
MOPP,DG Axo-axonic
MOPP,DG Basket
MOPP,DG Basket CCK+
MOPP,HICAP
MOPP,MOLAX
MOPP,MOPP
MOPP,DG Neurogliaform
MOPP,Outer Molecular Layer
MOPP,Total Molecular Layer
MOPP,CA1 Neurogliaform Projecting
DG Neurogliaform,Granule
DG Neurogliaform,Hilar Ectopic Granule
DG Neurogliaform,Semilunar Granule
DG Neurogliaform,Mossy MOLDEN
DG Neurogliaform,AIPRIM
DG Neurogliaform,DG Axo-axonic
DG Neurogliaform,DG Basket
DG Neurogliaform,DG Basket CCK+
DG Neurogliaform,HICAP
DG Neurogliaform,MOLAX
DG Neurogliaform,MOPP
DG Neurogliaform,DG Neurogliaform
DG Neurogliaform,Outer Molecular Layer
DG Neurogliaform,Total Molecular Layer
DG Neurogliaform,CA1 Neurogliaform Projecting
DG Neurogliaform,SUB EC-Projecting Pyramidal
DG Neurogliaform,SUB CA1-Projecting Pyramidal
DG Neurogliaform,SUB Axo-axonic
Outer Molecular Layer,Granule
Outer Molecular Layer,Hilar Ectopic Granule
Outer Molecular Layer,Semilunar Granule
Outer Molecular Layer,Mossy MOLDEN
Outer Molecular Layer,AIPRIM
Outer Molecular Layer,DG Axo-axonic
Outer Molecular Layer,DG Basket
Outer Molecular Layer,DG Basket CCK+
Outer Molecular Layer,HICAP
Outer Molecular Layer,MOLAX
Outer Molecular Layer,MOPP
Outer Molecular Layer,DG Neurogliaform
Outer Molecular Layer,Outer Molecular Layer
Outer Molecular Layer,Total Molecular Layer
Outer Molecular Layer,CA1 Neurogliaform Projecting
Total Molecular Layer,Granule
Total Molecular Layer,Hilar Ectopic Granule
Total Molecular Layer,Semilunar Granule
Total Molecular Layer,Mossy
Total Molecular Layer,Mossy MOLDEN
Total Molecular Layer,AIPRIM
Total Molecular Layer,DG Axo-axonic
Total Molecular Layer,DG Basket
Total Molecular Layer,DG Basket CCK+
Total Molecular Layer,HICAP
Total Molecular Layer,HIPP
Total Molecular Layer,HIPROM
Total Molecular Layer,MOCAP
Total Molecular Layer,MOLAX
Total Molecular Layer,MOPP
Total Molecular Layer,DG Neurogliaform
Total Molecular Layer,Outer Molecular Layer
Total Molecular Layer,Total Molecular Layer
Total Molecular Layer,CA3 Interneuron Specific Quad
Total Molecular Layer,CA1 Neurogliaform Projecting
CA3 Pyramidal,CA3 Pyramidal
CA3 Pyramidal,CA3c Pyramidal
CA3 Pyramidal,CA3 Giant
CA3 Pyramidal,CA3 Granule
CA3 Pyramidal,CA3 Axo-axonic
CA3 Pyramidal,CA3 Horizontal Axo-axonic
CA3 Pyramidal,CA3 Basket
CA3 Pyramidal,CA3 Basket CCK+
CA3 Pyramidal,CA3 Bistratified
CA3 Pyramidal,CA3 Interneuron Specific Oriens
CA3 Pyramidal,CA3 Interneuron Specific Quad
CA3 Pyramidal,CA3 Ivy
CA3 Pyramidal,CA3 LMR-Targeting
CA3 Pyramidal,Lucidum LAX
CA3 Pyramidal,Lucidum ORAX
CA3 Pyramidal,Lucidum-Radiatum
CA3 Pyramidal,Mossy Fiber-Associated
CA3 Pyramidal,Mossy Fiber-Associated ORDEN
CA3 Pyramidal,CA3 O-LM
CA3 Pyramidal,CA3 QuadD-LM
CA3 Pyramidal,CA3 Radiatum
CA3 Pyramidal,CA3 R-LM
CA3 Pyramidal,CA3 SO-SO
CA3 Pyramidal,CA3 Trilaminar
CA3 Pyramidal,CA2 Pyramidal
CA3 Pyramidal,CA2 Basket
CA3 Pyramidal,CA2 Wide-Arbor Basket
CA3 Pyramidal,CA2 Bistratified
CA3 Pyramidal,CA2 SP-SR
CA3 Pyramidal,CA1 Pyramidal
CA3 Pyramidal,CA1 Radiatum Giant
CA3 Pyramidal,CA1 Axo-axonic
CA3 Pyramidal,CA1 Horizontal Axo-axonic
CA3 Pyramidal,CA1 Back-Projection
CA3 Pyramidal,CA1 Basket
CA3 Pyramidal,CA1 Basket CCK+
CA3 Pyramidal,CA1 Horizontal Basket
CA3 Pyramidal,CA1 Bistratified
CA3 Pyramidal,CA1 Interneuron Specific LMO-O
CA3 Pyramidal,CA1 Interneuron Specific LMR-R
CA3 Pyramidal,CA1 Interneuron Specific O-R
CA3 Pyramidal,CA1 Interneuron Specific O-Targeting QuadD
CA3 Pyramidal,CA1 Interneuron Specific R-O
CA3 Pyramidal,CA1 Interneuron Specific RO-O
CA3 Pyramidal,CA1 Ivy
CA3 Pyramidal,CA1 LMR
CA3 Pyramidal,CA1 LMR Projecting
CA3 Pyramidal,CA1 O-LM
CA3 Pyramidal,CA1 Recurrent O-LM
CA3 Pyramidal,CA1 O-LMR
CA3 Pyramidal,CA1 Oriens/Alveus
CA3 Pyramidal,CA1 Oriens-Bistratified
CA3 Pyramidal,CA1 Oriens-Bistratified Projecting
CA3 Pyramidal,CA1 OR-LM
CA3 Pyramidal,CA1 Perforant Path-Associated
CA3 Pyramidal,CA1 Perforant Path-Associated QuadD
CA3 Pyramidal,CA1 Quadrilaminar
CA3 Pyramidal,CA1 Radiatum
CA3 Pyramidal,CA1 R-Receiving Apical-Targeting
CA3 Pyramidal,Schaffer Collateral-Associated
CA3 Pyramidal,Schaffer Collateral-Receiving R-Targeting
CA3 Pyramidal,CA1 SO-SO
CA3 Pyramidal,CA1 Hippocampo-subicular Projecting ENK+
CA3 Pyramidal,CA1 Trilaminar
CA3 Pyramidal,CA1 Radial Trilaminar
CA3c Pyramidal,Granule
CA3c Pyramidal,Hilar Ectopic Granule
CA3c Pyramidal,Semilunar Granule
CA3c Pyramidal,Mossy
CA3c Pyramidal,Mossy MOLDEN
CA3c Pyramidal,AIPRIM
CA3c Pyramidal,DG Axo-axonic
CA3c Pyramidal,DG Basket
CA3c Pyramidal,DG Basket CCK+
CA3c Pyramidal,HICAP
CA3c Pyramidal,HIPP
CA3c Pyramidal,HIPROM
CA3c Pyramidal,MOCAP
CA3c Pyramidal,MOLAX
CA3c Pyramidal,Outer Molecular Layer
CA3c Pyramidal,Total Molecular Layer
CA3c Pyramidal,CA3 Pyramidal
CA3c Pyramidal,CA3c Pyramidal
CA3c Pyramidal,CA3 Giant
CA3c Pyramidal,CA3 Granule
CA3c Pyramidal,CA3 Axo-axonic
CA3c Pyramidal,CA3 Horizontal Axo-axonic
CA3c Pyramidal,CA3 Basket
CA3c Pyramidal,CA3 Basket CCK+
CA3c Pyramidal,CA3 Bistratified
CA3c Pyramidal,CA3 Interneuron Specific Oriens
CA3c Pyramidal,CA3 Interneuron Specific Quad
CA3c Pyramidal,CA3 Ivy
CA3c Pyramidal,CA3 LMR-Targeting
CA3c Pyramidal,Lucidum LAX
CA3c Pyramidal,Lucidum ORAX
CA3c Pyramidal,Lucidum-Radiatum
CA3c Pyramidal,Mossy Fiber-Associated
CA3c Pyramidal,Mossy Fiber-Associated ORDEN
CA3c Pyramidal,CA3 O-LM
CA3c Pyramidal,CA3 QuadD-LM
CA3c Pyramidal,CA3 Radiatum
CA3c Pyramidal,CA3 R-LM
CA3c Pyramidal,CA3 SO-SO
CA3c Pyramidal,CA3 Trilaminar
CA3c Pyramidal,CA2 Pyramidal
CA3c Pyramidal,CA2 Basket
CA3c Pyramidal,CA2 Wide-Arbor Basket
CA3c Pyramidal,CA2 Bistratified
CA3c Pyramidal,CA2 SP-SR
CA3c Pyramidal,CA1 Pyramidal
CA3c Pyramidal,CA1 Radiatum Giant
CA3c Pyramidal,CA1 Axo-axonic
CA3c Pyramidal,CA1 Horizontal Axo-axonic
CA3c Pyramidal,CA1 Back-Projection
