From (pre-synaptic type),To (post-synaptic type)
Lucidum ORAX,CA3 Bistratified
Lucidum ORAX,CA3 Interneuron Specific Oriens
Lucidum ORAX,CA3 Interneuron Specific Quad
Lucidum ORAX,CA3 Ivy
Lucidum ORAX,CA3 LMR-Targeting
Lucidum ORAX,Lucidum LAX
Lucidum ORAX,Lucidum ORAX
Lucidum ORAX,Lucidum-Radiatum
Lucidum ORAX,Spiny Lucidum
Lucidum ORAX,Mossy Fiber-Associated
Lucidum ORAX,Mossy Fiber-Associated ORDEN
Lucidum ORAX,CA3 O-LM
Lucidum ORAX,CA3 QuadD-LM
Lucidum ORAX,CA3 Radiatum
Lucidum ORAX,CA3 R-LM
Lucidum ORAX,CA3 SO-SO
Lucidum ORAX,CA3 Trilaminar
Lucidum ORAX,CA2 Wide-Arbor Basket
Lucidum-Radiatum,CA3 Pyramidal
Lucidum-Radiatum,CA3c Pyramidal
Lucidum-Radiatum,CA3 Giant
Lucidum-Radiatum,CA3 Granule
Lucidum-Radiatum,CA3 Axo-axonic
Lucidum-Radiatum,CA3 Basket
Lucidum-Radiatum,CA3 Basket CCK+
Lucidum-Radiatum,CA3 Bistratified
Lucidum-Radiatum,CA3 Interneuron Specific Quad
Lucidum-Radiatum,CA3 Ivy
Lucidum-Radiatum,CA3 LMR-Targeting
Lucidum-Radiatum,Lucidum LAX
Lucidum-Radiatum,Lucidum ORAX
Lucidum-Radiatum,Lucidum-Radiatum
Lucidum-Radiatum,Spiny Lucidum
Lucidum-Radiatum,Mossy Fiber-Associated
Lucidum-Radiatum,Mossy Fiber-Associated ORDEN
Lucidum-Radiatum,CA3 QuadD-LM
Lucidum-Radiatum,CA3 Radiatum
Lucidum-Radiatum,CA3 R-LM
Spiny Lucidum,Granule
Spiny Lucidum,Hilar Ectopic Granule
Spiny Lucidum,Semilunar Granule
Spiny Lucidum,Mossy MOLDEN
Spiny Lucidum,AIPRIM
Spiny Lucidum,DG Axo-axonic
Spiny Lucidum,DG Basket
Spiny Lucidum,DG Basket CCK+
Spiny Lucidum,HICAP
Spiny Lucidum,HIPROM
Spiny Lucidum,MOCAP
Spiny Lucidum,MOLAX
Spiny Lucidum,MOPP
Spiny Lucidum,DG Neurogliaform
Spiny Lucidum,Outer Molecular Layer
Spiny Lucidum,Total Molecular Layer
Spiny Lucidum,CA3 Pyramidal
Spiny Lucidum,CA3c Pyramidal
Spiny Lucidum,CA3 Giant
Spiny Lucidum,CA3 Granule
Spiny Lucidum,CA3 Axo-axonic
Spiny Lucidum,CA3 Basket
Spiny Lucidum,CA3 Basket CCK+
Spiny Lucidum,CA3 Bistratified
Spiny Lucidum,CA3 Interneuron Specific Quad
Spiny Lucidum,CA3 Ivy
Spiny Lucidum,CA3 LMR-Targeting
Spiny Lucidum,Lucidum LAX
Spiny Lucidum,Lucidum ORAX
Spiny Lucidum,Lucidum-Radiatum
Spiny Lucidum,Spiny Lucidum
Spiny Lucidum,Mossy Fiber-Associated
Spiny Lucidum,Mossy Fiber-Associated ORDEN
Spiny Lucidum,CA3 QuadD-LM
Spiny Lucidum,CA3 Radiatum
Spiny Lucidum,CA3 R-LM
Spiny Lucidum,CA1 Neurogliaform Projecting
Mossy Fiber-Associated,Hilar Ectopic Granule
Mossy Fiber-Associated,Mossy
Mossy Fiber-Associated,Mossy MOLDEN
Mossy Fiber-Associated,AIPRIM
Mossy Fiber-Associated,DG Axo-axonic
Mossy Fiber-Associated,DG Basket
Mossy Fiber-Associated,DG Basket CCK+
Mossy Fiber-Associated,HICAP
Mossy Fiber-Associated,HIPP
Mossy Fiber-Associated,HIPROM
Mossy Fiber-Associated,MOLAX
Mossy Fiber-Associated,Outer Molecular Layer
Mossy Fiber-Associated,Total Molecular Layer
Mossy Fiber-Associated,CA3 Pyramidal
Mossy Fiber-Associated,CA3c Pyramidal
Mossy Fiber-Associated,CA3 Giant
Mossy Fiber-Associated,CA3 Granule
Mossy Fiber-Associated,CA3 Axo-axonic
Mossy Fiber-Associated,CA3 Basket
Mossy Fiber-Associated,CA3 Basket CCK+
Mossy Fiber-Associated,CA3 Bistratified
Mossy Fiber-Associated,CA3 Interneuron Specific Quad
Mossy Fiber-Associated,CA3 Ivy
Mossy Fiber-Associated,CA3 LMR-Targeting
Mossy Fiber-Associated,Lucidum LAX
Mossy Fiber-Associated,Lucidum ORAX
Mossy Fiber-Associated,Lucidum-Radiatum
Mossy Fiber-Associated,Spiny Lucidum
Mossy Fiber-Associated,Mossy Fiber-Associated
Mossy Fiber-Associated,Mossy Fiber-Associated ORDEN
Mossy Fiber-Associated,CA3 QuadD-LM
Mossy Fiber-Associated,CA3 Radiatum
Mossy Fiber-Associated,CA3 R-LM
Mossy Fiber-Associated,CA2 Wide-Arbor Basket
Mossy Fiber-Associated ORDEN,Hilar Ectopic Granule
Mossy Fiber-Associated ORDEN,Mossy
Mossy Fiber-Associated ORDEN,Mossy MOLDEN
Mossy Fiber-Associated ORDEN,AIPRIM
Mossy Fiber-Associated ORDEN,DG Axo-axonic
Mossy Fiber-Associated ORDEN,DG Basket
Mossy Fiber-Associated ORDEN,DG Basket CCK+
Mossy Fiber-Associated ORDEN,HICAP
Mossy Fiber-Associated ORDEN,HIPP
Mossy Fiber-Associated ORDEN,HIPROM
Mossy Fiber-Associated ORDEN,MOLAX
Mossy Fiber-Associated ORDEN,Outer Molecular Layer
Mossy Fiber-Associated ORDEN,Total Molecular Layer
Mossy Fiber-Associated ORDEN,CA3 Pyramidal
Mossy Fiber-Associated ORDEN,CA3c Pyramidal
Mossy Fiber-Associated ORDEN,CA3 Axo-axonic
Mossy Fiber-Associated ORDEN,CA3 Basket
Mossy Fiber-Associated ORDEN,CA3 Basket CCK+
Mossy Fiber-Associated ORDEN,CA3 Bistratified
Mossy Fiber-Associated ORDEN,CA3 Interneuron Specific Quad
Mossy Fiber-Associated ORDEN,CA3 Ivy
Mossy Fiber-Associated ORDEN,CA3 LMR-Targeting
Mossy Fiber-Associated ORDEN,Lucidum LAX
Mossy Fiber-Associated ORDEN,Lucidum ORAX
Mossy Fiber-Associated ORDEN,Lucidum-Radiatum
Mossy Fiber-Associated ORDEN,Spiny Lucidum
Mossy Fiber-Associated ORDEN,Mossy Fiber-Associated
Mossy Fiber-Associated ORDEN,Mossy Fiber-Associated ORDEN
Mossy Fiber-Associated ORDEN,CA3 QuadD-LM
Mossy Fiber-Associated ORDEN,CA2 Wide-Arbor Basket
CA3 O-LM,CA3 Pyramidal
CA3 O-LM,CA3c Pyramidal
CA3 O-LM,CA3 Giant
CA3 O-LM,CA3 Granule
CA3 O-LM,CA3 Axo-axonic
CA3 O-LM,CA3 Horizontal Axo-axonic
CA3 O-LM,CA3 Basket
CA3 O-LM,CA3 Basket CCK+
CA3 O-LM,CA3 Bistratified
CA3 O-LM,CA3 Interneuron Specific Oriens
CA3 O-LM,CA3 Interneuron Specific Quad
CA3 O-LM,CA3 Ivy
CA3 O-LM,CA3 LMR-Targeting
CA3 O-LM,Lucidum LAX
CA3 O-LM,Lucidum ORAX
CA3 O-LM,Lucidum-Radiatum
CA3 O-LM,Mossy Fiber-Associated
CA3 O-LM,Mossy Fiber-Associated ORDEN
CA3 O-LM,CA3 O-LM
CA3 O-LM,CA3 QuadD-LM
CA3 O-LM,CA3 Radiatum
CA3 O-LM,CA3 R-LM
CA3 O-LM,CA3 SO-SO
CA3 O-LM,CA3 Trilaminar
CA3 QuadD-LM,CA3 Pyramidal
CA3 QuadD-LM,CA3 Giant
CA3 QuadD-LM,CA3 Granule
CA3 QuadD-LM,CA3 Axo-axonic
CA3 QuadD-LM,CA3 Basket
CA3 QuadD-LM,CA3 Basket CCK+
CA3 QuadD-LM,CA3 LMR-Targeting
CA3 Radiatum,CA3 Pyramidal
CA3 Radiatum,CA3c Pyramidal
CA3 Radiatum,CA3 Giant
CA3 Radiatum,CA3 Granule
CA3 Radiatum,CA3 Axo-axonic
CA3 Radiatum,CA3 Basket
CA3 Radiatum,CA3 Basket CCK+
CA3 Radiatum,CA3 Bistratified
CA3 Radiatum,CA3 Interneuron Specific Quad
CA3 Radiatum,CA3 Ivy
CA3 Radiatum,CA3 LMR-Targeting
CA3 Radiatum,Lucidum LAX
CA3 Radiatum,Lucidum ORAX
CA3 Radiatum,Lucidum-Radiatum
CA3 Radiatum,Mossy Fiber-Associated
CA3 Radiatum,Mossy Fiber-Associated ORDEN
CA3 Radiatum,CA3 QuadD-LM
CA3 Radiatum,CA3 Radiatum
CA3 Radiatum,CA3 R-LM
CA3 R-LM,CA3 Pyramidal
CA3 R-LM,CA3 Giant
CA3 R-LM,CA3 Granule
CA3 R-LM,CA3 Axo-axonic
CA3 R-LM,CA3 Basket
CA3 R-LM,CA3 Basket CCK+
CA3 R-LM,CA3 LMR-Targeting
CA3 SO-SO,CA3 Pyramidal
CA3 SO-SO,CA3c Pyramidal
CA3 SO-SO,CA3 Axo-axonic
CA3 SO-SO,CA3 Horizontal Axo-axonic
CA3 SO-SO,CA3 Basket
CA3 SO-SO,CA3 Basket CCK+
CA3 SO-SO,CA3 Bistratified
CA3 SO-SO,CA3 Interneuron Specific Oriens
CA3 SO-SO,CA3 Interneuron Specific Quad
CA3 SO-SO,CA3 Ivy
CA3 SO-SO,Mossy Fiber-Associated ORDEN
CA3 SO-SO,CA3 O-LM
CA3 SO-SO,CA3 QuadD-LM
CA3 SO-SO,CA3 SO-SO
CA3 SO-SO,CA3 Trilaminar
CA3 Trilaminar,CA3 Pyramidal
CA3 Trilaminar,CA3c Pyramidal
CA3 Trilaminar,CA3 Giant
CA3 Trilaminar,CA3 Granule
CA3 Trilaminar,CA3 Axo-axonic
CA3 Trilaminar,CA3 Horizontal Axo-axonic
CA3 Trilaminar,CA3 Basket
CA3 Trilaminar,CA3 Basket CCK+
CA3 Trilaminar,CA3 Bistratified
CA3 Trilaminar,CA3 Interneuron Specific Oriens
CA3 Trilaminar,CA3 Interneuron Specific Quad
CA3 Trilaminar,CA3 Ivy
CA3 Trilaminar,CA3 LMR-Targeting
CA3 Trilaminar,Lucidum LAX
CA3 Trilaminar,Lucidum ORAX
CA3 Trilaminar,Lucidum-Radiatum
CA3 Trilaminar,Spiny Lucidum
CA3 Trilaminar,Mossy Fiber-Associated
CA3 Trilaminar,Mossy Fiber-Associated ORDEN
CA3 Trilaminar,CA3 O-LM
CA3 Trilaminar,CA3 QuadD-LM
CA3 Trilaminar,CA3 Radiatum
CA3 Trilaminar,CA3 R-LM
CA3 Trilaminar,CA3 SO-SO
CA3 Trilaminar,CA3 Trilaminar
CA3 Trilaminar,CA2 Wide-Arbor Basket
CA3 Trilaminar,CA1 Pyramidal
CA3 Trilaminar,CA1 Radiatum Giant
CA3 Trilaminar,CA1 Axo-axonic
CA3 Trilaminar,CA1 Horizontal Axo-axonic
CA3 Trilaminar,CA1 Back-Projection
CA3 Trilaminar,CA1 Basket
CA3 Trilaminar,CA1 Basket CCK+
CA3 Trilaminar,CA1 Horizontal Basket
CA3 Trilaminar,CA1 Bistratified
CA3 Trilaminar,CA1 Interneuron Specific LMO-O
CA3 Trilaminar,CA1 Interneuron Specific LMR-R
CA3 Trilaminar,CA1 Interneuron Specific O-R
CA3 Trilaminar,CA1 Interneuron Specific O-Targeting QuadD
CA3 Trilaminar,CA1 Interneuron Specific R-O
CA3 Trilaminar,CA1 Interneuron Specific RO-O
CA3 Trilaminar,CA1 Ivy
CA3 Trilaminar,CA1 LMR
CA3 Trilaminar,CA1 LMR Projecting
CA3 Trilaminar,CA1 O-LM
CA3 Trilaminar,CA1 Recurrent O-LM
CA3 Trilaminar,CA1 O-LMR
CA3 Trilaminar,CA1 Oriens/Alveus
CA3 Trilaminar,CA1 Oriens-Bistratified
CA3 Trilaminar,CA1 Oriens-Bistratified Projecting
CA3 Trilaminar,CA1 OR-LM
CA3 Trilaminar,CA1 Perforant Path-Associated
CA3 Trilaminar,CA1 Perforant Path-Associated QuadD
CA3 Trilaminar,CA1 Quadrilaminar
CA3 Trilaminar,CA1 Radiatum
CA3 Trilaminar,CA1 R-Receiving Apical-Targeting
CA3 Trilaminar,Schaffer Collateral-Associated
CA3 Trilaminar,Schaffer Collateral-Receiving R-Targeting
CA3 Trilaminar,CA1 SO-SO
CA3 Trilaminar,CA1 Hippocampo-subicular Projecting ENK+
CA3 Trilaminar,CA1 Trilaminar
CA3 Trilaminar,CA1 Radial Trilaminar
CA2 Pyramidal,Hilar Ectopic Granule
CA2 Pyramidal,Mossy
CA2 Pyramidal,Mossy MOLDEN
CA2 Pyramidal,AIPRIM
CA2 Pyramidal,DG Axo-axonic
CA2 Pyramidal,DG Basket
CA2 Pyramidal,DG Basket CCK+
CA2 Pyramidal,HICAP
CA2 Pyramidal,HIPP
CA2 Pyramidal,HIPROM
CA2 Pyramidal,MOLAX
CA2 Pyramidal,Outer Molecular Layer
CA2 Pyramidal,Total Molecular Layer
CA2 Pyramidal,CA3 Pyramidal
CA2 Pyramidal,CA3c Pyramidal
CA2 Pyramidal,CA3 Giant
CA2 Pyramidal,CA3 Granule
CA2 Pyramidal,CA3 Axo-axonic
CA2 Pyramidal,CA3 Horizontal Axo-axonic
CA2 Pyramidal,CA3 Basket
CA2 Pyramidal,CA3 Basket CCK+
CA2 Pyramidal,CA3 Bistratified
CA2 Pyramidal,CA3 Interneuron Specific Oriens
CA2 Pyramidal,CA3 Interneuron Specific Quad
CA2 Pyramidal,CA3 Ivy
CA2 Pyramidal,CA3 LMR-Targeting
CA2 Pyramidal,Lucidum LAX
CA2 Pyramidal,Lucidum ORAX
CA2 Pyramidal,Lucidum-Radiatum
CA2 Pyramidal,Spiny Lucidum
CA2 Pyramidal,Mossy Fiber-Associated
CA2 Pyramidal,Mossy Fiber-Associated ORDEN
CA2 Pyramidal,CA3 O-LM
CA2 Pyramidal,CA3 QuadD-LM
CA2 Pyramidal,CA3 Radiatum
CA2 Pyramidal,CA3 R-LM
CA2 Pyramidal,CA3 SO-SO
CA2 Pyramidal,CA3 Trilaminar
CA2 Pyramidal,CA2 Pyramidal
CA2 Pyramidal,CA2 Basket
CA2 Pyramidal,CA2 Wide-Arbor Basket
CA2 Pyramidal,CA2 Bistratified
CA2 Pyramidal,CA2 SP-SR
CA2 Pyramidal,CA1 Pyramidal
CA2 Pyramidal,CA1 Radiatum Giant
CA2 Pyramidal,CA1 Axo-axonic
CA2 Pyramidal,CA1 Horizontal Axo-axonic
CA2 Pyramidal,CA1 Back-Projection
CA2 Pyramidal,CA1 Basket
CA2 Pyramidal,CA1 Basket CCK+
CA2 Pyramidal,CA1 Horizontal Basket
CA2 Pyramidal,CA1 Bistratified
CA2 Pyramidal,CA1 Interneuron Specific LMO-O
CA2 Pyramidal,CA1 Interneuron Specific LMR-R
CA2 Pyramidal,CA1 Interneuron Specific O-R
CA2 Pyramidal,CA1 Interneuron Specific O-Targeting QuadD
CA2 Pyramidal,CA1 Interneuron Specific R-O
CA2 Pyramidal,CA1 Interneuron Specific RO-O
CA2 Pyramidal,CA1 Ivy
CA2 Pyramidal,CA1 LMR
CA2 Pyramidal,CA1 LMR Projecting
CA2 Pyramidal,CA1 O-LM
CA2 Pyramidal,CA1 Recurrent O-LM
CA2 Pyramidal,CA1 O-LMR
CA2 Pyramidal,CA1 Oriens/Alveus
CA2 Pyramidal,CA1 Oriens-Bistratified
CA2 Pyramidal,CA1 Oriens-Bistratified Projecting
CA2 Pyramidal,CA1 OR-LM
CA2 Pyramidal,CA1 Perforant Path-Associated
CA2 Pyramidal,CA1 Perforant Path-Associated QuadD
CA2 Pyramidal,CA1 Quadrilaminar
CA2 Pyramidal,CA1 Radiatum
CA2 Pyramidal,CA1 R-Receiving Apical-Targeting
CA2 Pyramidal,Schaffer Collateral-Associated
CA2 Pyramidal,Schaffer Collateral-Receiving R-Targeting
CA2 Pyramidal,CA1 SO-SO
CA2 Pyramidal,CA1 Hippocampo-subicular Projecting ENK+
CA2 Pyramidal,CA1 Trilaminar
CA2 Pyramidal,CA1 Radial Trilaminar
CA2 Basket,CA2 Pyramidal
CA2 Basket,CA2 Basket
CA2 Basket,CA2 Wide-Arbor Basket
CA2 Basket,CA2 Bistratified
CA2 Basket,CA2 SP-SR
CA2 Wide-Arbor Basket,CA3 Pyramidal
CA2 Wide-Arbor Basket,CA3c Pyramidal
CA2 Wide-Arbor Basket,CA3 Axo-axonic
CA2 Wide-Arbor Basket,CA3 Basket
CA2 Wide-Arbor Basket,CA3 Basket CCK+
CA2 Wide-Arbor Basket,CA3 Bistratified
CA2 Wide-Arbor Basket,CA3 Interneuron Specific Quad
CA2 Wide-Arbor Basket,Mossy Fiber-Associated ORDEN
CA2 Wide-Arbor Basket,CA3 QuadD-LM
CA2 Wide-Arbor Basket,CA2 Pyramidal
CA2 Wide-Arbor Basket,CA2 Basket
CA2 Wide-Arbor Basket,CA2 Wide-Arbor Basket
CA2 Wide-Arbor Basket,CA2 Bistratified
CA2 Wide-Arbor Basket,CA2 SP-SR
CA2 Wide-Arbor Basket,CA1 Pyramidal
CA2 Wide-Arbor Basket,CA1 Radiatum Giant
CA2 Wide-Arbor Basket,CA1 Axo-axonic
CA2 Wide-Arbor Basket,CA1 Basket
CA2 Wide-Arbor Basket,CA1 Basket CCK+
CA2 Wide-Arbor Basket,CA1 Horizontal Basket
CA2 Wide-Arbor Basket,CA1 Bistratified
CA2 Wide-Arbor Basket,CA1 Interneuron Specific LMO-O
CA2 Wide-Arbor Basket,CA1 Interneuron Specific LMR-R
CA2 Wide-Arbor Basket,CA1 Interneuron Specific O-Targeting QuadD
CA2 Wide-Arbor Basket,CA1 Interneuron Specific R-O
CA2 Wide-Arbor Basket,CA1 Interneuron Specific RO-O
CA2 Wide-Arbor Basket,CA1 Ivy
CA2 Wide-Arbor Basket,CA1 OR-LM
CA2 Wide-Arbor Basket,CA1 Radial Trilaminar
CA2 Bistratified,CA2 Pyramidal
CA2 Bistratified,CA2 Basket
CA2 Bistratified,CA2 Wide-Arbor Basket
CA2 Bistratified,CA2 Bistratified
CA2 Bistratified,CA2 SP-SR
CA2 Bistratified,CA1 Pyramidal
CA2 Bistratified,CA1 Radiatum Giant
CA2 Bistratified,CA1 Axo-axonic
CA2 Bistratified,CA1 Horizontal Axo-axonic
CA2 Bistratified,CA1 Back-Projection
CA2 Bistratified,CA1 Basket
CA2 Bistratified,CA1 Basket CCK+
CA2 Bistratified,CA1 Horizontal Basket
CA2 Bistratified,CA1 Bistratified
CA2 Bistratified,CA1 Interneuron Specific LMO-O
CA2 Bistratified,CA1 Interneuron Specific LMR-R
CA2 Bistratified,CA1 Interneuron Specific O-R
CA2 Bistratified,CA1 Interneuron Specific O-Targeting QuadD
CA2 Bistratified,CA1 Interneuron Specific R-O
CA2 Bistratified,CA1 Interneuron Specific RO-O
CA2 Bistratified,CA1 Ivy
CA2 Bistratified,CA1 LMR
CA2 Bistratified,CA1 LMR Projecting
CA2 Bistratified,CA1 O-LM
CA2 Bistratified,CA1 Recurrent O-LM
CA2 Bistratified,CA1 O-LMR
CA2 Bistratified,CA1 Oriens/Alveus
CA2 Bistratified,CA1 Oriens-Bistratified
CA2 Bistratified,CA1 Oriens-Bistratified Projecting
CA2 Bistratified,CA1 OR-LM
CA2 Bistratified,CA1 Perforant Path-Associated
CA2 Bistratified,CA1 Perforant Path-Associated QuadD
CA2 Bistratified,CA1 Quadrilaminar
CA2 Bistratified,CA1 Radiatum
CA2 Bistratified,CA1 R-Receiving Apical-Targeting
CA2 Bistratified,Schaffer Collateral-Associated
CA2 Bistratified,Schaffer Collateral-Receiving R-Targeting
CA2 Bistratified,CA1 SO-SO
CA2 Bistratified,CA1 Hippocampo-subicular Projecting ENK+
CA2 Bistratified,CA1 Trilaminar
CA2 Bistratified,CA1 Radial Trilaminar
CA2 SP-SR,CA2 Pyramidal
CA2 SP-SR,CA2 Basket
CA2 SP-SR,CA2 Wide-Arbor Basket
CA2 SP-SR,CA2 Bistratified
CA2 SP-SR,CA2 SP-SR
CA1 Pyramidal,CA1 Pyramidal
CA1 Pyramidal,CA1 Axo-axonic
CA1 Pyramidal,CA1 Horizontal Axo-axonic
CA1 Pyramidal,CA1 Back-Projection
CA1 Pyramidal,CA1 Basket
CA1 Pyramidal,CA1 Basket CCK+
CA1 Pyramidal,CA1 Horizontal Basket
CA1 Pyramidal,CA1 Bistratified
CA1 Pyramidal,CA1 Interneuron Specific LMO-O
CA1 Pyramidal,CA1 Interneuron Specific O-R
CA1 Pyramidal,CA1 Interneuron Specific O-Targeting QuadD
CA1 Pyramidal,CA1 Interneuron Specific RO-O
CA1 Pyramidal,CA1 Ivy
CA1 Pyramidal,CA1 O-LM
CA1 Pyramidal,CA1 Recurrent O-LM
CA1 Pyramidal,CA1 O-LMR
CA1 Pyramidal,CA1 Oriens/Alveus
CA1 Pyramidal,CA1 Oriens-Bistratified
CA1 Pyramidal,CA1 Oriens-Bistratified Projecting
CA1 Pyramidal,CA1 OR-LM
CA1 Pyramidal,CA1 Perforant Path-Associated QuadD
CA1 Pyramidal,CA1 Quadrilaminar
CA1 Pyramidal,Schaffer Collateral-Receiving R-Targeting
CA1 Pyramidal,CA1 SO-SO
CA1 Pyramidal,CA1 Hippocampo-subicular Projecting ENK+
CA1 Pyramidal,CA1 Trilaminar
CA1 Pyramidal,CA1 Radial Trilaminar
CA1 Pyramidal,SUB EC-Projecting Pyramidal
CA1 Pyramidal,SUB CA1-Projecting Pyramidal
CA1 Pyramidal,SUB Axo-axonic
CA1 Pyramidal,LEC LIII Multipolar Principal
CA1 Pyramidal,LIII-V Bipolar Pyramidal
CA1 Pyramidal,LIV-V Pyramidal-Horizontal
CA1 Pyramidal,LIV-VI Deep Multipolar Principal
CA1 Pyramidal,MEC LV Multipolar-Pyramidal
CA1 Pyramidal,LV Deep Pyramidal
CA1 Pyramidal,MEC LV Pyramidal
CA1 Pyramidal,MEC LV Superficial Pyramidal
CA1 Pyramidal,MEC LV-VI Pyramidal-Polymorphic
CA1 Pyramidal,LEC LVI Multipolar-Pyramidal
CA1 Pyramidal,MEC LIII Multipolar Interneuron
Cajal-Retzius,CA1 Pyramidal
Cajal-Retzius,Cajal-Retzius
Cajal-Retzius,CA1 Radiatum Giant
Cajal-Retzius,CA1 Axo-axonic
Cajal-Retzius,CA1 Basket
Cajal-Retzius,CA1 Basket CCK+
Cajal-Retzius,CA1 Interneuron Specific LMO-O
Cajal-Retzius,CA1 Interneuron Specific LM-R
Cajal-Retzius,CA1 Interneuron Specific LMR-R
Cajal-Retzius,CA1 Interneuron Specific O-Targeting QuadD
Cajal-Retzius,CA1 LMR
Cajal-Retzius,CA1 LMR Projecting
Cajal-Retzius,CA1 Neurogliaform
Cajal-Retzius,CA1 Neurogliaform Projecting
Cajal-Retzius,CA1 Oriens/Alveus
Cajal-Retzius,CA1 Perforant Path-Associated
Cajal-Retzius,CA1 Perforant Path-Associated QuadD
Cajal-Retzius,CA1 Quadrilaminar
Cajal-Retzius,Schaffer Collateral-Associated
Cajal-Retzius,CA1 Radial Trilaminar
CA1 Radiatum Giant,CA1 Pyramidal
CA1 Radiatum Giant,CA1 Axo-axonic
CA1 Radiatum Giant,CA1 Horizontal Axo-axonic
CA1 Radiatum Giant,CA1 Back-Projection
CA1 Radiatum Giant,CA1 Basket
CA1 Radiatum Giant,CA1 Basket CCK+
CA1 Radiatum Giant,CA1 Horizontal Basket
CA1 Radiatum Giant,CA1 Bistratified
CA1 Radiatum Giant,CA1 Interneuron Specific LMO-O
CA1 Radiatum Giant,CA1 Interneuron Specific O-R
CA1 Radiatum Giant,CA1 Interneuron Specific O-Targeting QuadD
CA1 Radiatum Giant,CA1 Interneuron Specific RO-O
CA1 Radiatum Giant,CA1 Ivy
CA1 Radiatum Giant,CA1 O-LM
CA1 Radiatum Giant,CA1 Recurrent O-LM
CA1 Radiatum Giant,CA1 O-LMR
CA1 Radiatum Giant,CA1 Oriens/Alveus
CA1 Radiatum Giant,CA1 Oriens-Bistratified
CA1 Radiatum Giant,CA1 Oriens-Bistratified Projecting
CA1 Radiatum Giant,CA1 OR-LM
CA1 Radiatum Giant,CA1 Perforant Path-Associated QuadD
CA1 Radiatum Giant,CA1 Quadrilaminar
CA1 Radiatum Giant,Schaffer Collateral-Receiving R-Targeting
CA1 Radiatum Giant,CA1 SO-SO
CA1 Radiatum Giant,CA1 Hippocampo-subicular Projecting ENK+
CA1 Radiatum Giant,CA1 Trilaminar
CA1 Radiatum Giant,CA1 Radial Trilaminar
CA1 Axo-axonic,CA1 Pyramidal
CA1 Axo-axonic,CA1 Radiatum Giant
CA1 Horizontal Axo-axonic,CA1 Pyramidal
CA1 Horizontal Axo-axonic,CA1 Radiatum Giant
CA1 Back-Projection,Hilar Ectopic Granule
CA1 Back-Projection,Mossy
CA1 Back-Projection,Mossy MOLDEN
CA1 Back-Projection,AIPRIM
CA1 Back-Projection,DG Axo-axonic
CA1 Back-Projection,DG Basket
CA1 Back-Projection,DG Basket CCK+
CA1 Back-Projection,HICAP
CA1 Back-Projection,HIPP
CA1 Back-Projection,HIPROM
CA1 Back-Projection,MOLAX
CA1 Back-Projection,Outer Molecular Layer
CA1 Back-Projection,Total Molecular Layer
CA1 Back-Projection,CA3 Pyramidal
CA1 Back-Projection,CA3c Pyramidal
CA1 Back-Projection,CA3 Giant
CA1 Back-Projection,CA3 Granule
CA1 Back-Projection,CA3 Axo-axonic
CA1 Back-Projection,CA3 Horizontal Axo-axonic
CA1 Back-Projection,CA3 Basket
CA1 Back-Projection,CA3 Basket CCK+
CA1 Back-Projection,CA3 Bistratified
CA1 Back-Projection,CA3 Interneuron Specific Oriens
CA1 Back-Projection,CA3 Interneuron Specific Quad
CA1 Back-Projection,CA3 Ivy
CA1 Back-Projection,CA3 LMR-Targeting
CA1 Back-Projection,Lucidum LAX
CA1 Back-Projection,Lucidum ORAX
CA1 Back-Projection,Lucidum-Radiatum
CA1 Back-Projection,Spiny Lucidum
CA1 Back-Projection,Mossy Fiber-Associated
CA1 Back-Projection,Mossy Fiber-Associated ORDEN
CA1 Back-Projection,CA3 O-LM
CA1 Back-Projection,CA3 QuadD-LM
CA1 Back-Projection,CA3 Radiatum
CA1 Back-Projection,CA3 R-LM
CA1 Back-Projection,CA3 SO-SO
CA1 Back-Projection,CA3 Trilaminar
CA1 Back-Projection,CA2 Wide-Arbor Basket
CA1 Back-Projection,CA1 Pyramidal
CA1 Back-Projection,Cajal-Retzius
CA1 Back-Projection,CA1 Radiatum Giant
CA1 Back-Projection,CA1 Axo-axonic
CA1 Back-Projection,CA1 Horizontal Axo-axonic
CA1 Back-Projection,CA1 Back-Projection
CA1 Back-Projection,CA1 Basket
CA1 Back-Projection,CA1 Basket CCK+
CA1 Back-Projection,CA1 Horizontal Basket
CA1 Back-Projection,CA1 Bistratified
CA1 Back-Projection,CA1 Interneuron Specific LMO-O
CA1 Back-Projection,CA1 Interneuron Specific LM-R
CA1 Back-Projection,CA1 Interneuron Specific LMR-R
CA1 Back-Projection,CA1 Interneuron Specific O-R
CA1 Back-Projection,CA1 Interneuron Specific O-Targeting QuadD
CA1 Back-Projection,CA1 Interneuron Specific R-O
CA1 Back-Projection,CA1 Interneuron Specific RO-O
CA1 Back-Projection,CA1 Ivy
CA1 Back-Projection,CA1 LMR
CA1 Back-Projection,CA1 LMR Projecting
CA1 Back-Projection,CA1 Neurogliaform
CA1 Back-Projection,CA1 Neurogliaform Projecting
CA1 Back-Projection,CA1 O-LM
CA1 Back-Projection,CA1 Recurrent O-LM
CA1 Back-Projection,CA1 O-LMR
CA1 Back-Projection,CA1 Oriens/Alveus
CA1 Back-Projection,CA1 Oriens-Bistratified
CA1 Back-Projection,CA1 Oriens-Bistratified Projecting
CA1 Back-Projection,CA1 OR-LM
