,Volumes,9518233055,4759116527,3174600000,2854859699
,Neuron ID,SMo,SMi,SG,H
DG Granule,1000,,,,3329.748518
,,2258.012275,1280.925571,,
DG Hilar Ectopic Granule,1041,,,,1071.093348
,,2256.535539,1466.409438,,2475.276281
DG Semilunar Granule,1001,,562.6843516,954.060894,4898.067483
,,3205.667077,1148.947553,,
DG Mossy,1002,,2104.148331,,5369.002008
,,,,,4792.856785
DG Mossy MOLDEN,1043,,593.0748965,,4191.855543
,,717.9868242,746.4877729,675.0521353,5259.472341
DG AIPRIM,1027,,10238.25096,2742.742623,6445.220185
,,915.4001356,689.1448355,783.0072863,3165.04038
DG Axo-Axonic,1010,,,18049.44657,10852.41235
,,5900.199729,1286.83376,807.8932264,1935.557247
DG Basket,1035,,,12050.76502,
,,3167.680352,994.6042316,873.8182343,1547.345999
DG Basket CCK+,1036,,,15209.30136,
,,3641.470112,1882.91991,1468.921208,4085.680917
DG HICAP,1009,,7552.050876,,
,,1157.097367,845.8287048,652.3408037,1358.541167
DG HIPP,1013,21436.78637,,,
,,,,,3600.608346
DG HIPROM,1026,8905.293333,5315.619561,4166.23672,10018.07185
,,,1166.667934,1239.405982,3538.741853
DG MOCAP,1040,,4989.398023,6203.486049,3245.426787
,,,748.3226983,509.984963,
DG MOLAX,1005,10284.56723,4145.353004,,
,,850.165157,1044.66251,,1732.166525
DG MOPP,1008,32652.16365,,,
,,2265.426647,,,
DG Neurogliaform,1007,3487.72846,,,
,,972.4352604,,,
DG Outer Molecular Layer,1006,4978.839377,,,
,,466.4470098,451.0350686,496.098938,1154.648301
DG Total Molecular Layer,1004,10638.03217,6547.30369,,3951.087985
,,520.5298013,514.5695364,,2039.238411
