id,neuron_id,neurite_id,reference_id,frag_id,evi_id
0,5001,485,800000,20000,20001
1,5001,419,800000,20000,20001
2,5001,472,800000,20000,20001
3,5001,406,800000,20000,20001
4,5001,473,800000,20000,20001
5,5001,407,800000,20000,20001
6,5001,474,800000,20000,20001
7,5001,408,800000,20000,20001
8,5001,412,800000,20000,20001
9,5001,413,800000,20000,20001
10,5001,414,800000,20000,20001
11,5001,485,800002,20017,20018
12,5001,419,800002,20017,20018
13,5001,472,800002,20017,20018
14,5001,406,800002,20017,20018
15,5001,473,800002,20017,20018
16,5001,407,800002,20017,20018
17,5001,474,800002,20017,20018
18,5001,408,800002,20017,20018
19,5005,485,800004,20029,20030
20,5005,419,800004,20029,20030
21,5005,472,800004,20029,20030
22,5005,406,800004,20029,20030
23,5005,473,800004,20029,20030
24,5005,407,800004,20029,20030
25,5005,474,800004,20029,20030
26,5005,408,800004,20029,20030
27,5005,402,800004,20029,20030
28,5005,403,800004,20029,20030
29,5005,404,800004,20029,20030
30,5002,485,800006,20066,20067
31,5002,419,800006,20066,20067
32,5002,472,800006,20066,20067
33,5002,406,800006,20066,20067
34,5002,473,800006,20066,20067
35,5002,407,800006,20066,20067
36,5002,485,800008,20080,20081
37,5002,419,800008,20080,20081
38,5002,472,800008,20080,20081
39,5002,406,800008,20080,20081
40,5002,473,800008,20080,20081
41,5002,407,800008,20080,20081
42,5002,485,800010,20090,20091
43,5002,419,800010,20090,20091
44,5002,472,800010,20090,20091
45,5002,406,800010,20090,20091
46,5002,473,800010,20090,20091
47,5002,407,800010,20090,20091
48,3000,483,800012,20104,20105
49,3000,417,800012,20104,20105
50,3000,467,800012,20104,20105
51,3000,401,800012,20104,20105
52,3000,466,800012,20104,20105
53,3000,400,800012,20104,20105
54,3000,465,800012,20104,20105
55,3000,464,800012,20104,20105
56,3000,392,800012,20104,20105
57,3000,399,800012,20104,20105
58,3000,403,800012,20104,20105
59,3000,404,800012,20104,20105
60,3000,405,800012,20104,20105
61,3000,483,800014,20133,20134
62,3000,417,800014,20133,20134
63,3000,467,800014,20133,20134
64,3000,401,800014,20133,20134
65,3000,466,800014,20133,20134
66,3000,400,800014,20133,20134
67,3000,465,800014,20133,20134
68,3000,399,800014,20133,20134
69,3000,464,800014,20133,20134
70,3000,483,800016,20156,20157
71,3000,417,800016,20156,20157
72,3000,467,800016,20156,20157
73,3000,401,800016,20156,20157
74,3000,466,800016,20156,20157
75,3000,400,800016,20156,20157
76,3000,465,800016,20156,20157
77,3000,399,800016,20156,20157
78,3000,464,800016,20156,20157
79,3000,405,800016,20156,20157
80,3000,397,800016,20156,20157
81,3000,396,800016,20156,20157
82,3000,394,800016,20156,20157
83,3006,483,800018,20183,20184
84,3006,417,800018,20183,20184
85,3006,467,800018,20183,20184
86,3006,401,800018,20183,20184
87,3006,466,800018,20183,20184
88,3006,400,800018,20183,20184
89,3006,465,800018,20183,20184
90,3006,399,800018,20183,20184
91,3006,464,800018,20183,20184
92,3007,483,800020,20220,20221
93,3007,417,800020,20220,20221
94,3007,405,800020,20220,20221
95,3007,470,800020,20220,20221
96,3007,404,800020,20220,20221
97,3007,403,800020,20220,20221
98,3007,467,800020,20220,20221
99,3007,401,800020,20220,20221
100,3007,466,800020,20220,20221
101,3007,400,800020,20220,20221
102,3007,465,800020,20220,20221
103,3007,399,800020,20220,20221
104,3007,464,800020,20220,20221
105,3007,398,800020,20220,20221
106,3007,462,800020,20220,20221
107,3007,396,800020,20220,20221
108,3003,483,800022,20268,20269
109,3003,417,800022,20268,20269
110,3003,405,800022,20268,20269
111,3003,403,800022,20268,20269
112,3003,467,800022,20268,20269
113,3003,401,800022,20268,20269
114,3003,466,800022,20268,20269
115,3003,400,800022,20268,20269
116,3003,465,800022,20268,20269
117,3003,399,800022,20268,20269
118,3003,483,800024,20290,20291
119,3003,417,800024,20290,20291
120,3003,471,800024,20290,20291
121,3003,405,800024,20290,20291
122,3003,404,800024,20290,20291
123,3003,469,800024,20290,20291
124,3003,403,800024,20290,20291
125,3003,467,800024,20290,20291
126,3003,401,800024,20290,20291
127,3003,466,800024,20290,20291
128,3003,400,800024,20290,20291
129,3003,465,800024,20290,20291
130,3003,399,800024,20290,20291
131,3008,483,800026,20315,20316
132,3008,417,800026,20315,20316
133,3008,467,800026,20315,20316
134,3008,401,800026,20315,20316
135,3008,466,800026,20315,20316
136,3008,400,800026,20315,20316
137,3008,465,800026,20315,20316
138,3008,399,800026,20315,20316
139,1000,481,800028,20347,20348
140,1000,415,800028,20347,20348
141,1000,455,800028,20347,20348
142,1000,389,800028,20347,20348
143,1000,456,800028,20347,20348
144,1000,390,800028,20347,20348
145,1000,457,800028,20347,20348
146,1000,391,800028,20347,20348
147,1000,458,800028,20347,20348
148,1000,392,800028,20347,20348
149,1000,396,800028,20347,20348
150,1000,395,800028,20347,20348
151,1000,400,800028,20347,20348
152,1000,481,800030,20376,20377
153,1000,415,800030,20376,20377
154,1000,455,800030,20376,20377
155,1000,389,800030,20376,20377
156,1000,456,800030,20376,20377
157,1000,390,800030,20376,20377
158,1000,457,800030,20376,20377
159,1000,391,800030,20376,20377
160,1000,458,800030,20376,20377
161,1000,392,800030,20376,20377
162,1000,396,800030,20376,20377
163,1000,481,800032,20403,20404
164,1000,415,800032,20403,20404
165,1000,455,800032,20403,20404
166,1000,389,800032,20403,20404
167,1000,456,800032,20403,20404
168,1000,390,800032,20403,20404
169,1000,457,800032,20403,20404
170,1000,391,800032,20403,20404
171,1000,458,800032,20403,20404
172,1000,392,800032,20403,20404
