id,source_id,target_id,reference_id,frag_id,evi_id
176,2000,2043,2000068,30545,30546
177,2000,2043,2000069,30550,30551
178,2000,2046,1003690,30243,30244
179,2000,2035,1003756,30252,30253
180,2000,2035,1003762,30253,30254
181,2000,4000,1002400,30157,30158
182,2000,4000,1000003,30001,30002
183,2000,4000,1000012,30006,30007
184,2000,4000,1002038,30150,30151
185,2000,4000,1002044,30151,30152
186,2000,4000,1003015,30186,30187
187,2000,4000,1003021,30189,30190
188,2000,4000,1004009,30265,30266
189,2000,4000,1006004,30311,30312
190,2000,4005,1003645,30228,30229
191,2000,4005,2000032,30462,30463
192,2000,4036,1000003,30001,30002
193,2000,4055,1000003,30001,30002
194,2000,4069,1000003,30001,30002
195,2000,4078,1000003,30001,30002
196,2000,4078,2000068,30545,30546
197,2000,4078,2000069,30550,30551
198,2000,4079,1000003,30001,30002
199,2004,2004,1000762,30082,30083
200,2004,1002,1003102,30200,30201
201,2004,1002,1002430,30160,30161
202,2004,1002,1003639,30225,30226
203,2004,1002,1000720,30079,30080
204,2004,1002,1002427,30159,30160
205,2004,1002,1002424,30158,30159
206,2004,1002,2000041,30508,30509
207,2004,4005,2000032,30462,30463
208,2004,4080,2000068,30545,30546
209,2004,4080,2000069,30550,30551
210,2001,2046,1006032,30322,30323
211,2028,2000,1000120,30007,30008
212,2028,2000,1006022,30317,30318
213,2028,2000,1006024,30318,30319
214,2028,2000,1006026,30319,30320
215,2028,2000,1007218,30418,30419
216,2028,2000,1007220,30420,30421
217,2028,2000,1007222,30424,30425
218,2028,2004,1006028,30320,30321
219,2028,2004,1007218,30418,30419
220,2028,2004,1007220,30420,30421
221,2028,2004,1007222,30424,30425
222,2047,2000,1007214,30417,30418
223,2047,2000,1007218,30418,30419
224,2047,2000,1007220,30420,30421
225,2047,2000,1007222,30424,30425
226,2043,2000,2000021,30449,30450
227,2045,2000,1002020,30148,30149
228,2045,2000,1003509,30214,30215
229,2045,2000,1006012,30314,30315
230,2045,2000,1006014,30315,30316
231,2045,2043,1003509,30214,30215
232,2046,2000,1000498,30012,30013
233,2046,2000,1003693,30245,30246
234,2046,2001,1006034,30323,30324
235,2036,2001,1006036,30324,30325
236,2035,2000,1003409,30211,30212
237,2009,2000,1003506,30213,30214
238,2009,2000,1003521,30218,30219
239,2009,2000,2000063,30538,30539
240,2049,2000,1002017,30145,30146
241,2023,2000,1007130,30356,30357
242,2023,2000,1007132,30358,30359
243,3000,4078,2000068,30545,30546
244,3000,4078,2000069,30550,30551
245,3000,4080,2000068,30545,30546
246,3000,4080,2000069,30550,30551
247,4000,4000,1003613,30222,30223
248,4000,4036,1007004,30338,30339
249,4000,4078,1006994,30331,30332
250,4000,4078,1006996,30332,30333
251,4000,4078,2000059,30532,30533
252,4000,4078,2000068,30545,30546
253,4000,4078,2000069,30550,30551
254,4000,4079,1006984,30325,30326
255,4000,4079,2000059,30532,30533
256,4000,4079,2000083,30568,30569
257,4000,4080,1006990,30329,30330
258,4000,4080,2000059,30532,30533
259,4000,4080,2000068,30545,30546
260,4000,4080,2000069,30550,30551
261,4000,4081,1003690,30243,30244
262,4000,4081,1000544,30018,30019
263,4000,4069,1002017,30145,30146
264,4000,4069,1003645,30228,30229
265,4000,4069,1000660,30074,30075
266,4000,4069,1003612,30221,30222
267,4000,4069,1003730,30249,30250
268,4000,4069,1000654,30073,30074
269,4000,4069,1002769,30182,30183
270,4000,4069,1003072,30197,30198
271,4000,4069,1000547,30020,30021
272,4000,4069,2000059,30532,30533
273,4000,4069,2000063,30538,30539
274,4000,4038,2000095,30581,30582
275,4000,4089,1007122,30352,30353
276,4000,4055,2000019,30447,30448
277,4000,4033,1007003,30337,30338
278,4000,4068,1007140,30363,30364
279,4080,4078,1003509,30214,30215
280,4080,4079,1003509,30214,30215
281,4080,4000,1003645,30228,30229
282,4080,4000,1002020,30148,30149
283,4080,4000,1003509,30214,30215
284,4080,4000,1000549,30022,30023
285,4080,4000,1000550,30023,30024
286,4080,4000,1000573,30024,30025
287,4080,4000,1003177,30205,30206
288,4080,4000,1004030,30269,30270
289,4080,4000,1000579,30032,30033
290,4080,4000,1000630,30044,30045
291,4080,4000,1000645,30059,30060
292,4080,4000,1007002,30336,30337
293,4080,4000,1007007,30340,30341
294,4080,4000,1007009,30342,30343
295,4080,4000,1007146,30367,30368
296,4080,4000,1006988,30328,30329
297,4081,4000,1003693,30245,30246
298,4081,4000,1000573,30024,30025
299,4081,4000,1004030,30269,30270
300,4081,4000,1000543,30017,30018
301,4081,4000,1000630,30044,30045
302,4081,4000,1000605,30037,30038
303,4081,4000,1000544,30018,30019
304,4012,4012,1007196,30404,30405
305,4012,4012,2000033,30467,30468
306,4012,4000,1003530,30219,30220
307,4012,4000,1003645,30228,30229
308,4012,4000,1000573,30024,30025
309,4012,4000,1004030,30269,30270
310,4012,4000,1000630,30044,30045
311,4012,4000,1000645,30059,30060
312,4012,4000,1003645,30228,30229
313,4012,4000,1007010,30343,30344
314,4012,4094,1007204,30408,30409
315,4012,4094,1007206,30410,30411
316,4069,4078,1007194,30400,30401
317,4069,4012,1007194,30400,30401
318,4069,4006,1007194,30400,30401
319,4069,4015,1007194,30400,30401
320,4069,4000,1002017,30145,30146
321,4069,4000,1003645,30228,30229
322,4069,4000,1000573,30024,30025
323,4069,4000,1000591,30034,30035
324,4069,4000,1000618,30039,30040
325,4069,4000,1003024,30190,30191
