evidence_ID,property_ID,source_id,target_id,original_id,fragment_id,Article_id,priority,conflict_note,unvetted,linking_quote,interpretation_notes,property_type_explanation,pc_flag,soma_pcl_flag,ax_de_pcl_flag,perisomatic_targeting_flag,supplemental_pmids
30196,NULL,1000,2017,1003051,30195,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30565,NULL,1000,2017,2000078,30564,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30015,NULL,1000,2019,1000507,30014,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30016,NULL,1000,2019,1000519,30015,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30212,NULL,1000,2035,1003409,30211,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30254,NULL,1000,2035,1003762,30253,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30011,NULL,1000,2043,1000486,30010,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30016,NULL,1000,2043,1000519,30015,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30546,NULL,1000,2043,2000068,30545,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30551,NULL,1000,2043,2000069,30550,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30578,NULL,1000,2043,2000091,30577,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30012,NULL,1000,2044,1000489,30011,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30014,NULL,1000,2046,1000504,30013,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30463,NULL,1000,2036,2000032,30462,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30142,NULL,1000,3000,1001984,30141,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30568,NULL,1000,3000,2000082,30567,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30185,NULL,1001,1002,1002915,30184,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30186,NULL,1001,1002,1002918,30185,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30098,NULL,1002,1000,1001306,30097,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30113,NULL,1002,1000,1001409,30112,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30132,NULL,1002,1000,1001921,30131,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30140,NULL,1002,1000,1001963,30139,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30182,NULL,1002,1000,1002745,30181,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30199,NULL,1002,1000,1003081,30198,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30204,NULL,1002,1000,1003105,30203,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30155,NULL,1002,1000,1002327,30154,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30228,NULL,1002,1000,1003642,30227,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30262,NULL,1002,1000,1004006,30261,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30442,NULL,1002,1000,2000014,30441,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30559,NULL,1002,1000,2000074,30558,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30560,NULL,1002,1000,2000075,30559,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30098,NULL,1002,1002,1001306,30097,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30161,NULL,1002,1002,1002430,30160,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30226,NULL,1002,1002,1003639,30225,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30262,NULL,1002,1002,1004006,30261,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30570,NULL,1002,1010,2000084,30569,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30100,NULL,1002,1009,1001309,30099,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30100,NULL,1002,1013,1001309,30099,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30284,NULL,1010,1000,1005000,30283,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30285,NULL,1010,1000,1005002,30284,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30368,NULL,1010,1000,1007146,30367,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30571,NULL,1010,1000,2000085,30570,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30574,NULL,1010,1000,2000088,30573,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30421,NULL,1010,1000,1007220,30420,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30286,NULL,1010,1002,1005004,30285,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30421,NULL,1010,1002,1007220,30420,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30288,NULL,1035,1035,1005015,30287,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30289,NULL,1035,1035,1005017,30288,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30290,NULL,1035,1035,1005019,30289,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30291,NULL,1035,1035,1005021,30290,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30293,NULL,1035,1035,1005025,30292,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30300,NULL,1035,1035,1005037,30299,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30301,NULL,1035,1035,1005039,30300,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30431,NULL,1035,1035,2000004,30430,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30292,NULL,1035,1000,1005023,30291,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30294,NULL,1035,1000,1005027,30293,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30295,NULL,1035,1000,1005029,30294,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30297,NULL,1035,1000,1005031,30296,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30298,NULL,1035,1000,1005033,30297,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30299,NULL,1035,1000,1005035,30298,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30302,NULL,1035,1000,1005041,30301,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30303,NULL,1035,1000,1005043,30302,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
