id,Evidence_id,Property_id,source_id,target_id,Type_id,Article_id,priority,conflict_note,unvetted,linking_quote,interpretation_notes,property_type_explanation,pc_flag,soma_pcl_flag,ax_de_pcl_flag,perisomatic_targeting_flag,supplemental_pmids
66,66,0,0,0,4138,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
67,67,0,0,0,4139,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
68,68,0,0,0,4146,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
69,69,0,0,0,4146,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
70,70,0,0,0,4146,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
71,71,0,0,0,4168,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
72,72,0,0,0,4168,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
73,73,0,0,0,4168,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
74,74,0,0,0,4168,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
75,75,0,0,0,6003,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
76,76,0,0,0,6003,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
77,77,0,0,0,6008,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
78,78,0,0,0,6008,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
79,79,0,0,0,6017,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
80,80,0,0,0,6019,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
81,81,0,0,0,6019,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
82,82,0,0,0,6092,0,0,NULL,1,NULL,NULL,NULL,1,1,0,0,NULL
