neuron,unique_id,parcel,neurite_id,total_length_avg,total_length_std,total_length_values_count
"Semilunar Granule",1001,CA3:SL:A,25,657.44,0.00,1
Mossy,1002,DG:SMi:A,7,2104.15,947.97,3
Mossy,1002,DG:H:D,14,4792.85,323.28,3
Mossy,1002,DG:H:A,13,5369.00,622.08,3
"Mossy MOLDEN",1043,DG:SMo:D,5,717.99,0.00,1
"Mossy MOLDEN",1043,DG:SMi:D,8,746.49,0.00,1
"Mossy MOLDEN",1043,DG:SMi:A,7,593.07,0.00,1
"Mossy MOLDEN",1043,DG:SG:D,11,675.05,0.00,1
"Mossy MOLDEN",1043,DG:H:D,14,5259.47,0.00,1
"Mossy MOLDEN",1043,DG:H:A,13,4191.86,0.00,1
AIPRIM,1027,DG:SMo:D,5,915.40,306.70,3
AIPRIM,1027,DG:SMi:D,8,689.15,139.51,3
AIPRIM,1027,DG:SMi:A,7,10238.25,807.61,3
AIPRIM,1027,DG:SG:D,11,783.01,100.71,3
AIPRIM,1027,DG:SG:A,10,2742.74,443.33,3
AIPRIM,1027,DG:H:D,14,3165.04,1183.14,3
AIPRIM,1027,DG:H:A,13,6445.22,877.70,3
"DG Axo-axonic",1010,DG:SMo:D,5,5900.20,0.00,1
"DG Axo-axonic",1010,DG:SMi:D,8,1286.83,0.00,1
"DG Axo-axonic",1010,DG:SG:D,11,807.89,0.00,1
"DG Axo-axonic",1010,DG:SG:A,10,18049.45,0.00,1
"DG Axo-axonic",1010,DG:H:D,14,1935.56,0.00,1
"DG Axo-axonic",1010,DG:H:A,13,10852.41,0.00,1
"DG Basket",1035,DG:SMo:D,5,3167.68,1969.87,2
"DG Basket",1035,DG:SMi:D,8,994.60,243.61,2
"DG Basket",1035,DG:SG:D,11,873.82,316.58,2
"DG Basket",1035,DG:SG:A,10,12050.77,4772.49,2
"DG Basket",1035,DG:H:D,14,1547.35,494.30,2
"DG Basket CCK+",1036,DG:SMo:D,5,3641.47,0.00,1
"DG Basket CCK+",1036,DG:SMi:D,8,1882.92,0.00,1
"DG Basket CCK+",1036,DG:SG:D,11,1468.92,0.00,1
"DG Basket CCK+",1036,DG:SG:A,10,15209.30,0.00,1
"DG Basket CCK+",1036,DG:H:D,14,4085.68,0.00,1
HICAP,1009,DG:SMo:D,5,1157.10,454.00,2
HICAP,1009,DG:SMi:D,8,845.83,297.50,3
HICAP,1009,DG:SMi:A,7,7552.05,389.52,3
HICAP,1009,DG:SG:D,11,652.34,175.91,3
HICAP,1009,DG:H:D,14,1358.54,191.04,3
HIPP,1013,DG:SMo:A,4,21436.79,2279.35,2
HIPP,1013,DG:H:D,14,3600.61,243.91,2
HIPROM,1026,DG:SMo:A,4,8905.29,1710.87,2
HIPROM,1026,DG:SMi:D,8,1166.67,210.80,2
HIPROM,1026,DG:SMi:A,7,5315.62,873.71,2
HIPROM,1026,DG:SG:D,11,1239.41,152.10,2
HIPROM,1026,DG:SG:A,10,4166.24,86.19,2
HIPROM,1026,DG:H:D,14,3538.75,4.34,2
HIPROM,1026,DG:H:A,13,10018.08,631.28,2
HIPROM,1026,CA3:SP:A,28,1623.95,842.29,2
HIPROM,1026,CA3:SL:A,25,2962.27,876.29,2
HIPROM,1026,CA3:SR:A,22,729.19,133.36,2
HIPROM,1026,CA3:SO:A,31,2521.52,1063.99,2
MOCAP,1040,DG:SMi:D,8,748.32,0.00,1
MOCAP,1040,DG:SMi:A,7,4989.40,0.00,1
MOCAP,1040,DG:SG:D,11,509.98,0.00,1
MOCAP,1040,DG:SG:A,10,6203.49,0.00,1
MOCAP,1040,DG:H:A,13,3245.43,0.00,1
MOLAX,1005,DG:SMo:D,5,850.16,442.74,3
MOLAX,1005,DG:SMo:A,4,10284.57,3046.99,3
MOLAX,1005,DG:SMi:D,8,1044.66,316.28,3
MOLAX,1005,DG:SMi:A,7,4145.36,1141.45,3
MOLAX,1005,DG:H:D,14,1732.17,763.10,3
MOPP,1008,DG:SMo:D,5,2265.43,1541.31,3
MOPP,1008,DG:SMo:A,4,32652.16,14272.19,3
"DG Neurogliaform",1007,DG:SMo:D,5,972.44,0.00,1
"DG Neurogliaform",1007,DG:SMo:A,4,3487.73,0.00,1
"DG Neurogliaform",1007,Sub:SM:A,67,1759.17,0.00,1
"Outer Molecular Layer",1006,DG:SMo:D,5,466.45,75.56,2
"Outer Molecular Layer",1006,DG:SMo:A,4,4978.84,681.61,2
"Outer Molecular Layer",1006,DG:SMi:D,8,451.04,48.42,2
"Outer Molecular Layer",1006,DG:SG:D,11,496.10,62.17,2
"Outer Molecular Layer",1006,DG:H:D,14,1154.65,698.78,2
"Total Molecular Layer",1004,DG:SMo:D,5,520.53,0.00,1
"Total Molecular Layer",1004,DG:SMo:A,4,10638.03,0.00,1
"Total Molecular Layer",1004,DG:SMi:D,8,514.57,0.00,1
"Total Molecular Layer",1004,DG:SMi:A,7,6547.30,0.00,1
"Total Molecular Layer",1004,DG:H:D,14,2039.24,0.00,1
"Total Molecular Layer",1004,DG:H:A,13,3951.09,0.00,1
"CA3 Pyramidal",2000,CA3:SP:D,29,510.75,26.17,2
"CA3 Pyramidal",2000,CA3:SL:D,26,700.97,54.44,2
"CA3 Pyramidal",2000,CA3:SR:D,23,3838.76,1186.38,2
"CA3 Pyramidal",2000,CA3:SR:A,22,4080.88,0.00,1
"CA3 Pyramidal",2000,CA3:SLM:D,20,3308.12,433.22,2
"CA3 Pyramidal",2000,CA3:SO:D,32,6266.02,2421.77,2
"CA3 Pyramidal",2000,CA3:SO:A,31,5649.89,0.00,1
"CA3 Pyramidal",2000,CA2:SR:A,40,547.25,0.00,1
"CA3 Pyramidal",2000,CA1:SR:A,55,2380.78,0.00,1
"CA3c Pyramidal",2004,CA3:SP:D,29,1643.91,0.00,1
"CA3c Pyramidal",2004,CA3:SL:D,26,1660.57,0.00,1
"CA3c Pyramidal",2004,CA3:SR:D,23,5394.46,0.00,1
"CA3c Pyramidal",2004,CA3:SR:A,22,2853.32,0.00,1
"CA3c Pyramidal",2004,CA3:SO:D,32,3288.71,0.00,1
"CA3c Pyramidal",2004,CA3:SO:A,31,4322.86,0.00,1
"CA3 Granule",2001,CA3:SL:A,25,3825.84,602.42,2
"CA3 Granule",2001,CA3:SR:D,23,571.47,16.24,2
"CA3 Granule",2001,CA3:SLM:D,20,2536.83,846.46,2
"CA3 Axo-axonic",2028,CA3:SP:D,29,935.78,0.00,1
"CA3 Axo-axonic",2028,CA3:SP:A,28,9800.52,0.00,1
"CA3 Axo-axonic",2028,CA3:SL:D,26,1855.63,0.00,1
"CA3 Axo-axonic",2028,CA3:SR:D,23,2010.98,0.00,1
"CA3 Axo-axonic",2028,CA3:SLM:D,20,2011.47,0.00,1
"CA3 Axo-axonic",2028,CA3:SO:D,32,2839.14,0.00,1
"CA3 Horizontal Axo-axonic",2047,CA3:SP:A,28,16257.92,1501.40,2
"CA3 Horizontal Axo-axonic",2047,CA3:SO:D,32,3368.47,927.89,2
"CA3 Basket",2043,CA3:SP:D,29,1052.15,0.00,1
"CA3 Basket",2043,CA3:SP:A,28,12728.14,0.00,1
"CA3 Basket",2043,CA3:SL:D,26,1494.61,0.00,1
"CA3 Basket",2043,CA3:SR:D,23,2472.85,0.00,1
"CA3 Basket",2043,CA3:SLM:D,20,2535.34,0.00,1
"CA3 Basket",2043,CA3:SO:D,32,1837.55,0.00,1
"CA3 Basket CCK+",2044,CA3:SP:D,29,214.42,0.00,1
"CA3 Basket CCK+",2044,CA3:SP:A,28,23482.04,0.00,1
"CA3 Basket CCK+",2044,CA3:SL:D,26,375.07,0.00,1
"CA3 Basket CCK+",2044,CA3:SR:D,23,3277.81,0.00,1
"CA3 Basket CCK+",2044,CA3:SLM:D,20,1226.26,0.00,1
"CA3 Basket CCK+",2044,CA3:SO:D,32,218.95,0.00,1
"CA3 Bistratified",2045,CA3:SP:D,29,709.58,0.00,1
"CA3 Bistratified",2045,CA3:SP:A,28,9798.97,0.00,1
"CA3 Bistratified",2045,CA3:SL:D,26,2072.96,0.00,1
"CA3 Bistratified",2045,CA3:SL:A,25,4748.53,0.00,1
"CA3 Bistratified",2045,CA3:SR:D,23,2975.28,0.00,1
"CA3 Bistratified",2045,CA3:SR:A,22,5885.90,0.00,1
"CA3 Bistratified",2045,CA3:SO:D,32,1773.22,0.00,1
"CA3 Bistratified",2045,CA3:SO:A,31,15365.97,0.00,1
"CA3 Interneuron Specific Oriens",2021,CA3:SP:A,28,4323.36,134.56,2
"CA3 Interneuron Specific Oriens",2021,CA3:SL:A,25,5623.01,877.45,2
"CA3 Interneuron Specific Oriens",2021,CA3:SR:A,22,7071.28,915.84,2
"CA3 Interneuron Specific Oriens",2021,CA3:SO:D,32,5932.97,1697.30,2
"CA3 Interneuron Specific Oriens",2021,CA3:SO:A,31,9511.31,5080.84,2
"CA3 Ivy",2046,CA3:SP:D,29,693.61,120.41,2
"CA3 Ivy",2046,CA3:SP:A,28,2456.14,95.53,2
"CA3 Ivy",2046,CA3:SL:D,26,530.42,111.80,2
"CA3 Ivy",2046,CA3:SL:A,25,3912.63,658.44,2
"CA3 Ivy",2046,CA3:SR:D,23,1633.73,16.20,2
"CA3 Ivy",2046,CA3:SR:A,22,5790.49,652.70,2
"CA3 Ivy",2046,CA3:SO:D,32,458.03,42.67,2
"CA3 Ivy",2046,CA3:SO:A,31,6267.29,4984.59,2
"CA3 LMR-Targeting",2005,CA3:SL:D,26,520.85,0.00,1
"CA3 LMR-Targeting",2005,CA3:SR:D,23,526.64,0.00,1
"CA3 LMR-Targeting",2005,CA3:SR:A,22,3840.03,0.00,1
"CA3 LMR-Targeting",2005,CA3:SLM:D,20,1644.98,0.00,1
"CA3 LMR-Targeting",2005,CA3:SLM:A,19,7406.67,0.00,1
"Lucidum ORAX",2013,CA3:SP:A,28,1704.99,862.88,3
"Lucidum ORAX",2013,CA3:SL:D,26,1027.42,206.85,3
"Lucidum ORAX",2013,CA3:SL:A,25,1568.95,540.48,3
"Lucidum ORAX",2013,CA3:SR:D,23,2859.03,917.44,3
"Lucidum ORAX",2013,CA3:SR:A,22,4079.33,1687.08,3
"Lucidum ORAX",2013,CA3:SO:A,31,3542.24,586.13,3
Lucidum-Radiatum,2014,CA3:SL:D,26,1205.13,616.58,3
Lucidum-Radiatum,2014,CA3:SL:A,25,1702.85,1178.26,3
Lucidum-Radiatum,2014,CA3:SR:D,23,2266.60,856.86,3
Lucidum-Radiatum,2014,CA3:SR:A,22,4910.88,913.83,3
"Spiny Lucidum",2019,DG:SMo:A,4,3115.16,0.00,1
"Spiny Lucidum",2019,DG:SMi:A,7,319.56,0.00,1
"Spiny Lucidum",2019,CA3:SP:D,29,831.59,53.05,2
"Spiny Lucidum",2019,CA3:SL:D,26,3276.61,511.49,2
"Spiny Lucidum",2019,CA3:SL:A,25,913.83,159.65,2
"Spiny Lucidum",2019,CA3:SR:A,22,2986.57,2522.84,2
"Mossy Fiber-Associated",2036,DG:H:A,13,8757.68,5328.03,2
"Mossy Fiber-Associated",2036,CA3:SP:D,29,438.06,0.45,2
"Mossy Fiber-Associated",2036,CA3:SP:A,28,3869.95,2276.46,2
"Mossy Fiber-Associated",2036,CA3:SL:D,26,797.80,429.89,2
"Mossy Fiber-Associated",2036,CA3:SL:A,25,6250.20,5188.64,2
"Mossy Fiber-Associated",2036,CA3:SR:D,23,3381.49,55.66,2
"Mossy Fiber-Associated",2036,CA3:SR:A,22,2817.11,615.80,2
"Mossy Fiber-Associated ORDEN",2035,DG:H:A,13,3429.65,0.00,1
"Mossy Fiber-Associated ORDEN",2035,CA3:SP:D,29,712.81,0.00,1
"Mossy Fiber-Associated ORDEN",2035,CA3:SP:A,28,8450.03,0.00,1
"Mossy Fiber-Associated ORDEN",2035,CA3:SL:D,26,794.72,0.00,1
"Mossy Fiber-Associated ORDEN",2035,CA3:SL:A,25,18420.46,0.00,1
"Mossy Fiber-Associated ORDEN",2035,CA3:SR:D,23,3362.86,0.00,1
"Mossy Fiber-Associated ORDEN",2035,CA3:SO:D,32,1618.23,0.00,1
"CA3 O-LM",2009,CA3:SR:A,22,2619.83,0.00,1
"CA3 O-LM",2009,CA3:SLM:A,19,5061.67,0.00,1
"CA3 O-LM",2009,CA3:SO:D,32,6608.54,0.00,1
"CA3 O-LM",2009,CA3:SO:A,31,4338.36,0.00,1
"CA3 QuadD-LM",2049,CA3:SP:D,29,460.40,0.00,1
"CA3 QuadD-LM",2049,CA3:SL:D,26,491.27,0.00,1
"CA3 QuadD-LM",2049,CA3:SR:D,23,884.53,0.00,1
"CA3 QuadD-LM",2049,CA3:SLM:A,19,5167.35,0.00,1
"CA3 QuadD-LM",2049,CA3:SO:D,32,1106.65,0.00,1
"CA3 Radiatum",2023,CA3:SR:D,23,7149.53,5229.64,2
"CA3 Radiatum",2023,CA3:SR:A,22,13422.21,5590.68,2
"CA3 R-LM",2008,CA3:SR:D,23,5019.50,0.00,1
"CA3 R-LM",2008,CA3:SLM:A,19,7024.72,0.00,1
"CA3 SO-SO",2022,CA3:SO:D,32,2941.80,0.00,1
"CA3 SO-SO",2022,CA3:SO:A,31,10077.88,0.00,1
"CA3 Trilaminar",2020,CA3:SP:A,28,8290.88,4599.44,2
"CA3 Trilaminar",2020,CA3:SL:A,25,6811.31,3347.65,2
"CA3 Trilaminar",2020,CA3:SR:A,22,15983.35,8913.46,2
"CA3 Trilaminar",2020,CA3:SO:D,32,6941.32,1013.14,2
"CA3 Trilaminar",2020,CA3:SO:A,31,15795.93,4387.30,2
"CA3 Trilaminar",2020,CA1:SR:A,55,3373.48,122.38,2
"CA3 Trilaminar",2020,CA1:SP:A,58,2370.40,1009.40,2
"CA3 Trilaminar",2020,CA1:SO:A,61,6645.47,3994.86,2
"CA3 Trilaminar",2020,SUB:PL:A,73,2109.25,0.00,1
"CA2 Pyramidal",3000,CA3:SP:A,28,501.40,0.00,1
"CA2 Pyramidal",3000,CA3:SR:A,22,726.68,0.00,1
"CA2 Pyramidal",3000,CA3:SO:A,31,3073.81,0.00,1
"CA2 Pyramidal",3000,CA2:SO:D,47,3160.92,1827.00,3
"CA2 Pyramidal",3000,CA2:SO:A,46,2328.93,2556.79,3
"CA2 Pyramidal",3000,CA2:SP:D,44,645.89,152.66,3
"CA2 Pyramidal",3000,CA2:SP:A,43,507.42,84.75,3
"CA2 Pyramidal",3000,CA2:SR:D,41,4618.21,1237.68,3
"CA2 Pyramidal",3000,CA2:SR:A,40,2479.18,0.00,1
"CA2 Pyramidal",3000,CA2:SLM:D,38,2685.94,1465.05,3
"CA2 Pyramidal",3000,CA1:SO:A,61,523.36,0.00,1
"CA2 Basket",3006,CA2:SO:D,47,2247.30,0.00,1
"CA2 Basket",3006,CA2:SP:D,44,682.29,0.00,1
"CA2 Basket",3006,CA2:SP:A,43,24841.32,0.00,1
"CA2 Basket",3006,CA2:SR:D,41,2549.19,0.00,1
"CA2 Basket",3006,CA2:SLM:D,38,1359.78,0.00,1
"CA2 Wide-Arbor BC",3007,CA3:SP:D,28,717.35,0.00,1
"CA2 Wide-Arbor BC",3007,CA3:SP:A,47,7567.90,0.00,1
"CA2 Wide-Arbor BC",3007,CA2:SO:D,47,1629.08,0.00,1
"CA2 Wide-Arbor BC",3007,CA2:SP:D,44,755.58,0.00,1
"CA2 Wide-Arbor BC",3007,CA2:SP:A,43,19896.45,0.00,1
"CA2 Wide-Arbor BC",3007,CA2:SR:D,41,1120.97,0.00,1
"CA2 Wide-Arbor BC",3007,CA2:SLM:D,38,1211.12,0.00,1
"CA2 Wide-Arbor BC",3007,CA1:SP:D,59,500.32,0.00,1
"CA2 Wide-Arbor BC",3007,CA1:SP:A,58,652.57,0.00,1
"CA2 Bistratified",3003,CA2:SO:D,47,1600.65,710.57,2
"CA2 Bistratified",3003,CA2:SO:A,46,6554.22,1536.26,2
"CA2 Bistratified",3003,CA2:SP:D,44,739.81,5.42,2
"CA2 Bistratified",3003,CA2:SP:A,43,4389.90,988.04,2
"CA2 Bistratified",3003,CA2:SR:D,41,3229.46,490.26,2
"CA2 Bistratified",3003,CA2:SR:A,40,13396.18,3422.57,2
"CA2 Bistratified",3003,CA1:SR:D,56,5484.05,0.00,1
"CA2 Bistratified",3003,CA1:SR:A,55,654.14,0.00,1
"CA2 Bistratified",3003,CA1:SP:A,58,1097.16,0.00,1
"CA2 Bistratified",3003,CA1:SO:A,61,2899.67,367.66,2
"CA2 SP-SR",3008,CA2:SO:D,47,1331.75,0.00,1
"CA2 SP-SR",3008,CA2:SP:D,44,465.91,0.00,1
"CA2 SP-SR",3008,CA2:SR:D,41,2355.26,0.00,1
"CA2 SP-SR",3008,CA2:SR:A,40,6283.37,0.00,1
"CA1 Pyramidal",4000,CA1:SLM:D,53,2052.71,806.37,5
"CA1 Pyramidal",4000,CA1:SR:D,56,4465.34,754.15,5
"CA1 Pyramidal",4000,CA1:SP:D,59,643.79,327.36,5
"CA1 Pyramidal",4000,CA1:SO:D,62,3795.59,683.42,5
"CA1 Pyramidal",4000,CA1:SO:A,61,2575.28,1597.60,3
Cajal-Retzius,4094,CA1:SLM:D,53,885.73,14.38,2
