neuron,unique_id,parcel,neurite_id,somatic_distance_avg,somatic_distance_std,somatic_distance_values_count,somatic_distance_min,somatic_distance_max
"CA1 Perforant Path Associated QuadD",4076,CA1:SLM:A,52,545.05,230.81,6,37.64,1214.68
"CA1 Perforant Path Associated QuadD",4076,CA1:SR:D,56,231.61,88.29,5,0.00,676.80
"CA1 Perforant Path Associated QuadD",4076,CA1:SP:D,59,488.07,97.41,4,276.28,668.30
"CA1 Perforant Path Associated QuadD",4076,CA1:SO:D,62,563.30,133.98,6,366.86,841.30
"CA1 Quadrilaminar",4003,CA1:SLM:D,53,142.53,48.25,5,0.00,433.10
"CA1 Quadrilaminar",4003,CA1:SLM:A,52,216.20,30.29,5,0.00,537.53
"CA1 Quadrilaminar",4003,CA1:SR:D,56,153.28,33.10,5,0.00,354.50
"CA1 Quadrilaminar",4003,CA1:SR:A,55,265.67,33.31,5,0.00,649.11
"CA1 Quadrilaminar",4003,CA1:SP:D,59,349.13,7.45,3,299.41,412.28
"CA1 Quadrilaminar",4003,CA1:SP:A,58,363.19,9.18,5,334.25,415.26
"CA1 Quadrilaminar",4003,CA1:SO:D,62,493.27,33.27,5,367.51,742.00
"CA1 Quadrilaminar",4003,CA1:SO:A,61,475.72,20.59,5,422.04,583.05
"CA1 Radiatum",4028,CA1:SR:D,56,143.78,41.27,10,0.00,431.27
"CA1 Radiatum",4028,CA1:SR:A,55,374.28,157.25,10,0.00,1184.69
"CA1 R-Receiving Apical-Targeting",4061,CA1:SLM:A,52,509.08,57.66,5,322.18,842.46
"CA1 R-Receiving Apical-Targeting",4061,CA1:SR:D,56,118.98,23.10,5,0.00,292.52
"CA1 R-Receiving Apical-Targeting",4061,CA1:SR:A,55,358.42,72.78,5,0.00,881.99
"Schaffer Collateral-Associated",4015,CA1:SLM:D,53,177.20,37.75,14,0.00,355.67
"Schaffer Collateral-Associated",4015,CA1:SR:D,56,162.59,64.58,19,0.00,431.79
"Schaffer Collateral-Associated",4015,CA1:SR:A,55,242.20,101.90,20,0.00,918.52
"Schaffer Collateral-Associated",4015,CA1:SP:A,58,338.53,163.90,19,27.67,995.28
"Schaffer Collateral-Associated",4015,CA1:SO:A,61,434.54,96.85,18,244.23,725.36
"Schaffer Collateral-Receiving R-Targeting",4084,CA1:SR:D,56,168.44,20.13,4,107.97,278.52
"Schaffer Collateral-Receiving R-Targeting",4084,CA1:SR:A,55,206.08,18.59,5,92.25,349.59
"Schaffer Collateral-Receiving R-Targeting",4084,CA1:SP:D,59,110.17,23.13,5,52.20,225.75
"Schaffer Collateral-Receiving R-Targeting",4084,CA1:SO:D,62,62.75,15.41,5,0.00,161.79
"CA1 SO-SO",4033,CA1:SO:D,62,248.79,77.97,6,0.00,644.42
"CA1 SO-SO",4033,CA1:SO:A,61,337.65,34.21,4,0.00,774.81
"CA1 Hippocampo-subicular Projecting ENK+",4041,CA1:SR:D,56,103.13,32.38,5,0.00,327.90
"CA1 Hippocampo-subicular Projecting ENK+",4041,CA1:SR:A,55,144.55,58.14,5,0.00,484.42
"CA1 Hippocampo-subicular Projecting ENK+",4041,CA1:SP:A,58,179.33,64.45,5,100.29,515.75
"CA1 Hippocampo-subicular Projecting ENK+",4041,CA1:SO:D,62,261.75,12.37,5,188.60,373.44
"CA1 Hippocampo-subicular Projecting ENK+",4041,CA1:SO:A,61,557.15,139.40,5,210.36,1365.04
"CA1 Trilaminar",4035,CA1:SR:A,55,227.39,66.74,5,151.69,529.33
"CA1 Trilaminar",4035,CA1:SP:A,58,203.98,64.44,5,149.59,515.75
"CA1 Trilaminar",4035,CA1:SO:D,62,167.45,12.37,5,0.00,373.44
"CA1 Trilaminar",4035,CA1:SO:A,61,451.97,139.40,5,0.00,1365.04
"CA1 Radial Trilaminar",4013,CA1:SLM:D,53,636.05,32.81,5,534.14,859.85
"CA1 Radial Trilaminar",4013,CA1:SR:D,56,417.73,33.31,5,234.41,702.81
"CA1 Radial Trilaminar",4013,CA1:SR:A,55,489.04,120.45,5,309.06,1001.96
"CA1 Radial Trilaminar",4013,CA1:SP:D,59,258.11,47.95,4,219.48,462.04
"CA1 Radial Trilaminar",4013,CA1:SP:A,58,395.64,40.12,5,290.63,631.48
"CA1 Radial Trilaminar",4013,CA1:SO:D,62,111.72,45.22,5,0.00,396.93
"CA1 Radial Trilaminar",4013,CA1:SO:A,61,247.94,33.91,5,0.00,618.58
"SUB EC-Proj Pyramidal",5001,Sub:SM:D,68,332.93,69.37,4,0.00,704.99
"SUB EC-Proj Pyramidal",5001,Sub:SM:A,67,275.81,149.21,2,0.00,709.19
"SUB EC-Proj Pyramidal",5001,Sub:SP:D,71,86.12,12.19,4,0.00,200.48
"SUB EC-Proj Pyramidal",5001,Sub:SP:A,70,504.36,63.87,2,0.00,1136.44
"SUB EC-Proj Pyramidal",5001,Sub:PL:A,73,728.01,65.21,3,387.33,1210.19
"SUB CA1-Proj Pyramidal",5005,CA1:SLM:A,52,1165.72,10.78,2,1094.01,1258.98
"SUB CA1-Proj Pyramidal",5005,CA1:SR:A,55,978.14,0.00,1,862.28,1094.01
"SUB CA1-Proj Pyramidal",5005,Sub:SM:D,68,352.90,72.81,5,42.60,824.36
"SUB CA1-Proj Pyramidal",5005,Sub:SM:A,67,447.63,71.92,5,146.64,993.14
"SUB CA1-Proj Pyramidal",5005,Sub:SP:D,71,79.77,19.25,5,0.00,223.03
"SUB CA1-Proj Pyramidal",5005,Sub:SP:A,70,181.09,51.98,5,0.00,532.87
"SUB CA1-Proj Pyramidal",5005,Sub:PL:A,73,547.13,139.67,5,250.38,1228.65
"SUB Axo-axonic",5002,Sub:SM:D,68,70.15,32.64,7,0.00,153.15
"SUB Axo-axonic",5002,Sub:SP:A,70,148.43,42.36,7,0.00,351.66
"LI-II Multipolar-Pyramidal",6094,EC:I:D,80,172.47,50.53,9,0.00,412.20
"LI-II Multipolar-Pyramidal",6094,EC:II:D,83,99.47,32.47,8,0.00,271.44
"LI-II Multipolar-Pyramidal",6094,EC:II:A,82,179.76,71.91,7,0.00,587.52
"LI-II Multipolar-Pyramidal",6094,EC:III:A,85,260.01,77.16,9,60.91,667.82
"LI-II Multipolar-Pyramidal",6094,EC:IV:A,88,664.55,36.82,4,500.41,920.68
"LI-II Pyramidal-Fan",6005,EC:I:D,80,140.51,58.22,6,0.00,456.73
"LI-II Pyramidal-Fan",6005,EC:I:A,79,310.18,153.57,9,0.00,1024.82
"LI-II Pyramidal-Fan",6005,EC:II:D,83,143.52,197.75,6,0.00,966.63
"LI-II Pyramidal-Fan",6005,EC:II:A,82,184.11,163.81,6,0.00,630.30
"LI-II Pyramidal-Fan",6005,EC:III:A,85,350.87,89.09,7,47.16,664.78
"MEC LII-III Pyramidal-Multiform",6008,EC:I:D,80,232.99,17.04,10,175.16,362.35
"MEC LII-III Pyramidal-Multiform",6008,EC:II:D,83,109.47,30.02,10,0.00,181.13
"MEC LII-III Pyramidal-Multiform",6008,EC:II:A,82,166.85,71.02,10,0.00,541.70
"MEC LII-III Pyramidal-Multiform",6008,EC:III:D,86,82.08,22.56,10,0.00,239.01
"MEC LII-III Pyramidal-Multiform",6008,EC:III:A,85,166.69,63.66,10,0.00,564.35
"MEC LII-III Pyramidal-Multiform",6008,EC:IV:A,88,316.55,158.91,7,163.94,552.49
"MEC LII-III Pyramidal-Multiform",6008,EC:V:A,91,470.41,82.87,7,238.87,890.79
"MEC LII-III Pyramidal-Multiform",6008,EC:VI:A,94,695.16,64.79,6,512.18,975.89
"MEC LII Oblique Pyramidal",6019,EC:I:D,80,283.30,40.38,5,235.56,435.50
"MEC LII Oblique Pyramidal",6019,EC:II:D,83,114.67,27.69,5,0.00,299.45
"MEC LII Oblique Pyramidal",6019,EC:III:A,85,240.06,13.61,3,50.22,467.68
"MEC LII Oblique Pyramidal",6019,EC:IV:A,88,481.79,36.27,4,344.80,692.51
"MEC LII Stellate",6003,EC:I:D,80,301.89,169.25,15,83.20,1006.33
"MEC LII Stellate",6003,EC:I:A,79,516.76,330.26,10,83.20,1319.84
"MEC LII Stellate",6003,EC:II:D,83,141.03,83.45,15,0.00,686.65
"MEC LII Stellate",6003,EC:II:A,82,400.27,373.93,11,0.00,2386.86
"MEC LII Stellate",6003,EC:III:D,86,118.54,35.62,5,35.13,341.16
"MEC LII Stellate",6003,EC:III:A,85,814.56,439.36,7,35.13,2462.69
"MEC LII Stellate",6003,EC:IV:A,88,961.54,629.73,4,292.19,1996.86
"MEC LII Stellate",6003,EC:V:A,91,1138.22,996.87,9,345.58,3539.51
"MEC LII Stellate",6003,EC:VI:A,94,1643.16,1160.68,7,636.19,3373.67
"LII-III Pyramidal-Tripolar",6082,EC:I:D,80,254.86,15.01,7,83.81,450.05
"LII-III Pyramidal-Tripolar",6082,EC:I:A,79,408.53,105.57,7,68.99,934.76
"LII-III Pyramidal-Tripolar",6082,EC:II:D,83,148.45,27.20,6,0.00,274.90
"LII-III Pyramidal-Tripolar",6082,EC:II:A,82,234.73,90.72,6,0.00,535.67
"LII-III Pyramidal-Tripolar",6082,EC:III:D,86,97.45,53.56,7,0.00,333.54
"LII-III Pyramidal-Tripolar",6082,EC:III:A,85,186.48,113.40,9,0.00,657.57
"LEC LIII Multipolar Principal",6025,EC:I:A,79,590.48,0.00,1,430.00,750.96
"LEC LIII Multipolar Principal",6025,EC:II:A,82,289.67,36.06,2,197.71,453.73
"LEC LIII Multipolar Principal",6025,EC:III:D,86,130.43,16.25,7,0.00,309.94
"LEC LIII Multipolar Principal",6025,EC:III:A,85,271.57,0.00,1,0.00,543.13
"LEC LIII Multipolar Principal",6025,EC:IV:D,89,325.25,54.75,3,210.73,525.66
"LEC LIII Multipolar Principal",6025,EC:IV:A,88,469.46,0.00,1,233.49,705.42
"LEC LIII Multipolar Principal",6025,EC:V:D,92,470.14,89.73,4,328.27,808.55
"LEC LIII Multipolar Principal",6025,EC:V:A,91,573.31,0.00,1,349.16,797.47
"LIII Pyramidal",6017,EC:I:D,80,214.52,117.66,8,121.05,507.96
"LIII Pyramidal",6017,EC:II:D,83,134.35,90.14,8,38.54,379.03
"LIII Pyramidal",6017,EC:III:D,86,63.32,42.25,9,0.00,277.85
"LIII Pyramidal",6017,EC:III:A,85,71.96,51.40,8,0.00,344.55
"LIII Pyramidal",6017,EC:IV:A,88,138.43,116.71,5,36.28,499.02
"LIII Pyramidal",6017,EC:V:A,91,223.73,139.36,5,71.96,550.80
"LIII Pyramidal",6017,EC:VI:A,94,350.96,199.80,5,121.00,653.16
"LEC LIII Complex Pyramidal",6007,EC:I:D,80,525.82,12.23,5,476.55,599.38
"LEC LIII Complex Pyramidal",6007,EC:II:D,83,399.26,18.10,5,291.91,548.03
"LEC LIII Complex Pyramidal",6007,EC:II:A,82,514.23,57.14,5,371.64,775.23
"LEC LIII Complex Pyramidal",6007,EC:III:D,86,103.65,30.63,5,0.00,289.56
"LEC LIII Complex Pyramidal",6007,EC:III:A,85,254.28,93.67,5,0.00,785.98
"LEC LIII Complex Pyramidal",6007,EC:IV:D,89,149.86,20.69,5,122.09,257.63
"LEC LIII Complex Pyramidal",6007,EC:IV:A,88,276.73,69.28,5,252.09,471.08
"LEC LIII Complex Pyramidal",6007,EC:V:A,91,226.38,51.83,4,134.73,418.62
"MEC LIII Complex Pyramidal",6006,EC:I:D,80,531.41,11.11,5,456.23,642.66
"MEC LIII Complex Pyramidal",6006,EC:I:A,79,643.84,28.20,5,594.74,764.62
"MEC LIII Complex Pyramidal",6006,EC:II:A,82,461.84,83.20,5,307.44,858.88
"MEC LIII Complex Pyramidal",6006,EC:III:D,86,129.47,23.01,5,0.00,320.07
"MEC LIII Complex Pyramidal",6006,EC:III:A,85,193.74,46.46,5,0.00,519.49
"MEC LIII Complex Pyramidal",6006,EC:IV:D,89,153.08,15.93,5,108.54,254.29
"MEC LIII Complex Pyramidal",6006,EC:IV:A,88,107.81,40.82,3,35.25,275.06
"MEC LIII Bipolar  Complex Pyramidal",6024,EC:I:A,79,367.37,11.92,5,350.79,430.21
"MEC LIII Bipolar  Complex Pyramidal",6024,EC:II:D,83,147.70,41.82,5,87.29,359.88
"MEC LIII Bipolar  Complex Pyramidal",6024,EC:II:A,82,218.41,7.96,5,125.31,338.27
"MEC LIII Bipolar  Complex Pyramidal",6024,EC:III:D,86,82.19,27.11,5,0.00,262.10
"MEC LIII Bipolar  Complex Pyramidal",6024,EC:III:A,85,264.27,141.15,5,0.00,874.20
"MEC LIII Bipolar  Complex Pyramidal",6024,EC:IV:A,88,341.77,72.67,4,236.88,675.91
"LIII Pyramidal-Stellate",6092,EC:I:D,80,588.42,6.13,5,522.71,673.48
"LIII Pyramidal-Stellate",6092,EC:II:D,83,407.99,2.69,4,311.51,511.96
"LIII Pyramidal-Stellate",6092,EC:III:D,86,120.20,20.21,5,0.00,301.09
"LIII Pyramidal-Stellate",6092,EC:III:A,85,154.67,37.36,2,0.00,384.06
"LIII Pyramidal-Stellate",6092,EC:IV:D,89,126.47,10.23,5,80.00,207.63
"LIII Stellate",6018,EC:I:D,80,282.07,20.69,5,213.94,405.05
"LIII Stellate",6018,EC:II:D,83,119.02,19.65,5,36.70,229.96
"LIII Stellate",6018,EC:III:D,86,65.07,22.48,5,0.00,195.31
"LIII Stellate",6018,EC:III:A,85,125.06,58.95,4,0.00,451.35
"LIII-V Bipolar Pyramidal",6095,EC:I:D,80,477.04,167.19,7,268.41,854.48
"LIII-V Bipolar Pyramidal",6095,EC:II:D,83,473.03,103.03,6,235.50,641.67
"LIII-V Bipolar Pyramidal",6095,EC:III:D,86,243.00,64.95,3,83.26,457.44
"LIII-V Bipolar Pyramidal",6095,EC:III:A,85,350.50,50.02,11,83.26,879.34
"LIII-V Bipolar Pyramidal",6095,EC:IV:D,89,116.98,46.93,4,0.00,200.49
"LIII-V Bipolar Pyramidal",6095,EC:IV:A,88,203.95,91.00,8,0.00,657.81
"LIII-V Bipolar Pyramidal",6095,EC:V:D,92,126.99,35.55,12,0.00,353.89
"LIII-V Bipolar Pyramidal",6095,EC:V:A,91,305.57,77.15,7,0.00,842.74
"LIII-V Bipolar Pyramidal",6095,EC:VI:A,94,726.73,192.21,7,198.43,1171.76
"LIV-V Pyramidal-Horizontal",6085,EC:I:D,80,550.67,19.55,5,485.91,682.24
"LIV-V Pyramidal-Horizontal",6085,EC:II:D,83,409.21,4.14,3,341.00,487.76
"LIV-V Pyramidal-Horizontal",6085,EC:IV:D,89,145.82,6.79,5,97.77,206.94
"LIV-V Pyramidal-Horizontal",6085,EC:V:D,92,148.26,16.88,5,0.00,339.73
"LIV-V Pyramidal-Horizontal",6085,EC:V:A,91,93.80,0.00,1,0.00,187.59
"LIV-V Pyramidal-Horizontal",6085,EC:VI:A,94,480.78,0.00,1,186.45,775.10
"LIV-VI Deep Multipolar Principal",6086,EC:IV:D,89,198.19,87.77,18,0.00,433.93
"LIV-VI Deep Multipolar Principal",6086,EC:IV:A,88,357.37,227.31,15,0.00,1410.71
"LIV-VI Deep Multipolar Principal",6086,EC:V:D,92,177.32,84.16,19,0.00,819.18
"LIV-VI Deep Multipolar Principal",6086,EC:V:A,91,218.02,158.57,15,0.00,1069.14
"LIV-VI Deep Multipolar Principal",6086,EC:VI:D,95,290.47,97.63,16,0.00,766.61
"LIV-VI Deep Multipolar Principal",6086,EC:VI:A,94,376.98,244.38,11,0.00,1740.63
"MEC LV Multipolar-Principal",6033,EC:III:A,85,427.60,47.21,8,154.66,812.43
"MEC LV Multipolar-Principal",6033,EC:IV:D,89,236.44,112.64,10,99.30,513.30
"MEC LV Multipolar-Principal",6033,EC:IV:A,88,231.61,98.80,7,99.30,432.82
"MEC LV Multipolar-Principal",6033,EC:V:D,92,157.56,48.54,8,0.00,497.96
"MEC LV Multipolar-Principal",6033,EC:V:A,91,190.69,41.04,9,0.00,512.05
"MEC LV Multipolar-Principal",6033,EC:VI:D,95,183.99,12.25,4,141.36,261.04
"MEC LV Multipolar-Principal",6033,EC:VI:A,94,308.75,91.43,9,141.36,819.16
"LV Deep Pyramidal",6021,EC:I:D,80,877.94,328.90,18,410.22,1510.85
"LV Deep Pyramidal",6021,EC:II:D,83,718.77,261.21,18,360.45,1439.27
"LV Deep Pyramidal",6021,EC:V:D,92,139.64,76.46,25,0.00,770.68
"LV Deep Pyramidal",6021,EC:V:A,91,96.96,48.04,21,0.00,449.00
"LV Deep Pyramidal",6021,EC:VI:D,95,202.96,59.58,25,57.98,499.19
"LV Deep Pyramidal",6021,EC:VI:A,94,194.36,77.78,16,57.98,610.92
"MEC LV Pyramidal",6002,EC:I:D,80,720.72,21.60,8,644.85,821.26
"MEC LV Pyramidal",6002,EC:I:A,79,889.94,90.93,7,703.74,1235.87
"MEC LV Pyramidal",6002,EC:II:D,83,573.54,22.69,7,503.23,713.47
"MEC LV Pyramidal",6002,EC:II:A,82,780.56,82.83,7,503.82,1188.32
"MEC LV Pyramidal",6002,EC:III:A,85,453.30,126.34,4,216.42,966.16
"MEC LV Pyramidal",6002,EC:IV:A,88,319.87,94.16,6,119.50,797.08
"MEC LV Pyramidal",6002,EC:V:D,92,87.25,19.24,9,0.00,232.45
"MEC LV Pyramidal",6002,EC:V:A,91,137.74,110.63,9,0.00,839.00
"MEC LV Pyramidal",6002,EC:VI:D,95,278.75,0.00,1,117.26,440.24
"MEC LV Pyramidal",6002,EC:VI:A,94,205.75,25.70,8,78.69,374.45
"MEC LV Superficial Pyramidal",6023,EC:I:D,80,581.36,29.00,5,519.43,729.64
"MEC LV Superficial Pyramidal",6023,EC:II:A,82,507.85,29.80,2,414.04,661.27
"MEC LV Superficial Pyramidal",6023,EC:III:D,86,195.02,39.49,5,112.98,370.24
"MEC LV Superficial Pyramidal",6023,EC:III:A,85,308.00,78.90,3,108.24,650.41
"MEC LV Superficial Pyramidal",6023,EC:IV:D,89,85.37,22.75,5,38.61,199.56
"MEC LV Superficial Pyramidal",6023,EC:IV:A,88,68.22,5.72,3,35.59,111.34
"MEC LV Superficial Pyramidal",6023,EC:V:D,92,84.81,21.14,5,0.00,235.25
"MEC LV Superficial Pyramidal",6023,EC:V:A,91,75.02,2.23,2,0.00,154.51
"MEC LV-VI Pyramidal-Polymorphic",6052,EC:V:D,92,208.43,61.90,10,123.14,554.74
"MEC LV-VI Pyramidal-Polymorphic",6052,EC:VI:D,95,134.60,78.01,10,0.00,703.00
"MEC LV-VI Pyramidal-Polymorphic",6052,EC:VI:A,94,180.86,57.11,10,0.00,539.07
"LEC LVI Multipolar-Pyramidal",6078,EC:III:A,85,755.90,77.09,4,604.93,1112.38
"LEC LVI Multipolar-Pyramidal",6078,EC:IV:A,88,475.64,16.97,4,410.14,599.14
"LEC LVI Multipolar-Pyramidal",6078,EC:V:D,92,228.40,55.54,4,108.41,518.85
"LEC LVI Multipolar-Pyramidal",6078,EC:V:A,91,200.66,48.68,5,76.58,444.78
"LEC LVI Multipolar-Pyramidal",6078,EC:VI:D,95,147.94,47.90,5,0.00,473.10
"LEC LVI Multipolar-Pyramidal",6078,EC:VI:A,94,169.03,29.10,4,0.00,400.63
"LII Axo-axonic",6048,EC:II:D,83,114.14,9.97,3,0.00,248.92
"LII Axo-axonic",6048,EC:II:A,82,133.18,25.40,5,0.00,353.26
"MEC LII Basket",6096,EC:II:D,83,96.22,31.96,5,0.00,291.11
"MEC LII Basket",6096,EC:II:A,82,255.65,79.22,5,0.00,656.88
"MEC LII Basket",6096,EC:III:A,85,446.81,30.79,5,403.00,561.80
"LII Basket Multipolar Interneuron",6053,EC:I:D,80,179.06,64.90,10,63.13,308.70
"LII Basket Multipolar Interneuron",6053,EC:II:D,83,87.29,45.47,10,0.00,297.88
"LII Basket Multipolar Interneuron",6053,EC:II:A,82,195.59,55.38,10,0.00,599.05
"MEC LIII Superficial Multipolar Interneuron",6040,EC:I:D,80,621.63,167.77,9,336.85,982.50
"MEC LIII Superficial Multipolar Interneuron",6040,EC:II:D,83,461.03,104.14,7,177.59,799.44
"MEC LIII Superficial Multipolar Interneuron",6040,EC:II:A,82,364.34,121.38,14,177.59,707.72
"MEC LIII Superficial Multipolar Interneuron",6040,EC:III:D,86,128.70,60.87,14,0.00,479.43
"MEC LIII Superficial Multipolar Interneuron",6040,EC:III:A,85,224.00,76.79,15,0.00,744.20
"MEC LIII Superficial Trilayered Interneuron",6038,EC:I:D,80,347.66,62.83,5,218.14,658.43
"MEC LIII Superficial Trilayered Interneuron",6038,EC:I:A,79,340.71,82.53,5,218.14,755.79
"MEC LIII Superficial Trilayered Interneuron",6038,EC:II:D,83,145.83,16.56,5,56.03,289.93
"MEC LIII Superficial Trilayered Interneuron",6038,EC:II:A,82,152.73,28.84,5,56.03,329.66
"MEC LIII Superficial Trilayered Interneuron",6038,EC:III:D,86,44.84,15.22,5,0.00,142.37
"MEC LIII Superficial Trilayered Interneuron",6038,EC:III:A,85,48.46,23.24,5,0.00,169.14
